split_seed,fixed_c_l1_seconds,contemporary_sc_shil_seconds,fixed_c_l1_over_sc_shil,historical_tuned_l1_seconds,historical_tuned_over_fixed_c_l1,fixed_c_selected_edges,sc_shil_selected_edges,fixed_c_macro_f1,sc_shil_macro_f1,fixed_c_log_loss,sc_shil_log_loss,fixed_c_execution_order,sc_shil_execution_order
11,5463.448226612993,334.42308601900004,16.33693502338708,24333.455326425377,4.4538639915895475,3,2,0.9365286732202296,0.9358063228048812,0.2180512126454875,0.2229275707071375,1,2
23,5172.274762399029,342.7015791889862,15.092649338352556,23728.631110630464,4.587658660968842,2,2,0.9321585535682992,0.9310604313175188,0.22287713461274,0.2274561176620203,2,1
37,5005.187275314995,338.8218270110083,14.772328333948735,23485.52048811782,4.692236113510816,2,2,0.938025241226723,0.9368966376663804,0.2136732825371405,0.2164809488411641,1,2
53,5029.87713414093,358.93379763903795,14.0133839923295,23600.821394033264,4.692126818335122,2,11,0.9389481002376612,0.93850259383862,0.1957451422811863,0.1926350347530335,2,1
71,5201.144320719992,342.617130261031,15.180631268370547,23841.59328944189,4.583913042840063,2,2,0.9438740473338516,0.941440856076668,0.1857545544751002,0.1940587003658231,1,2
89,5089.662844587001,360.1925397000159,14.130394951616418,23777.112962002862,4.671647943692476,3,1,0.9410381058599868,0.9372213573876244,0.1794497734135977,0.1914396443348623,2,1
101,5056.764940991008,363.11849935801,13.925935885754429,23792.523895788472,4.705087970951976,2,2,0.9369201771162003,0.9349707382659284,0.2057977196157119,0.212773087673781,1,2
131,5191.379612910037,345.414844406012,15.029405067513308,23631.485893661626,4.552062776317556,2,2,0.9411220706954204,0.9388544238265256,0.19045383144243,0.192663696085912,2,1
157,5072.294233410037,357.3690283839824,14.19343544220068,23618.219887059186,4.65631897524623,2,2,0.9362352374732276,0.9340053588356882,0.1983495339895112,0.2029627368290559,1,2
181,4847.692851107975,339.73117429495323,14.269202292572738,23031.02994933026,4.750925988239199,1,2,0.9327938145234828,0.9325403957608714,0.2428778685393018,0.2467159596080287,2,1
