dataset,scenario,data_seed,split_seed,model,rank,edge,order,is_true_edge
dry_bean_uci,dry_bean_uci,11,11,SC-L1-fixed-C,1,1-12,2,
dry_bean_uci,dry_bean_uci,11,11,SC-L1-fixed-C,2,3-12,2,
dry_bean_uci,dry_bean_uci,11,11,SC-L1-fixed-C,3,9-10,2,
dry_bean_uci,dry_bean_uci,11,11,SC-SHIL-contemporary,1,3-12,2,
dry_bean_uci,dry_bean_uci,11,11,SC-SHIL-contemporary,2,10-12,2,
dry_bean_uci,dry_bean_uci,23,23,SC-L1-fixed-C,1,1-12,2,
dry_bean_uci,dry_bean_uci,23,23,SC-L1-fixed-C,2,9-10,2,
dry_bean_uci,dry_bean_uci,23,23,SC-SHIL-contemporary,1,3-12,2,
dry_bean_uci,dry_bean_uci,23,23,SC-SHIL-contemporary,2,10-12,2,
dry_bean_uci,dry_bean_uci,37,37,SC-L1-fixed-C,1,3-12,2,
dry_bean_uci,dry_bean_uci,37,37,SC-L1-fixed-C,2,9-10,2,
dry_bean_uci,dry_bean_uci,37,37,SC-SHIL-contemporary,1,3-12,2,
dry_bean_uci,dry_bean_uci,37,37,SC-SHIL-contemporary,2,10-12,2,
dry_bean_uci,dry_bean_uci,53,53,SC-L1-fixed-C,1,9-10,2,
dry_bean_uci,dry_bean_uci,53,53,SC-L1-fixed-C,2,10-12,2,
dry_bean_uci,dry_bean_uci,53,53,SC-SHIL-contemporary,1,0-12,2,
dry_bean_uci,dry_bean_uci,53,53,SC-SHIL-contemporary,2,1-12,2,
dry_bean_uci,dry_bean_uci,53,53,SC-SHIL-contemporary,3,3-10,2,
dry_bean_uci,dry_bean_uci,53,53,SC-SHIL-contemporary,4,3-12,2,
dry_bean_uci,dry_bean_uci,53,53,SC-SHIL-contemporary,5,6-12,2,
dry_bean_uci,dry_bean_uci,53,53,SC-SHIL-contemporary,6,7-12,2,
dry_bean_uci,dry_bean_uci,53,53,SC-SHIL-contemporary,7,9-10,2,
dry_bean_uci,dry_bean_uci,53,53,SC-SHIL-contemporary,8,10-12,2,
dry_bean_uci,dry_bean_uci,53,53,SC-SHIL-contemporary,9,10-13,2,
dry_bean_uci,dry_bean_uci,53,53,SC-SHIL-contemporary,10,1-9-10,3,
dry_bean_uci,dry_bean_uci,53,53,SC-SHIL-contemporary,11,9-10-12,3,
dry_bean_uci,dry_bean_uci,71,71,SC-L1-fixed-C,1,3-12,2,
dry_bean_uci,dry_bean_uci,71,71,SC-L1-fixed-C,2,9-10,2,
dry_bean_uci,dry_bean_uci,71,71,SC-SHIL-contemporary,1,3-12,2,
dry_bean_uci,dry_bean_uci,71,71,SC-SHIL-contemporary,2,10-12,2,
dry_bean_uci,dry_bean_uci,89,89,SC-L1-fixed-C,1,3-12,2,
dry_bean_uci,dry_bean_uci,89,89,SC-L1-fixed-C,2,9-10,2,
dry_bean_uci,dry_bean_uci,89,89,SC-L1-fixed-C,3,10-12,2,
dry_bean_uci,dry_bean_uci,89,89,SC-SHIL-contemporary,1,10-12,2,
dry_bean_uci,dry_bean_uci,101,101,SC-L1-fixed-C,1,3-12,2,
dry_bean_uci,dry_bean_uci,101,101,SC-L1-fixed-C,2,9-10,2,
dry_bean_uci,dry_bean_uci,101,101,SC-SHIL-contemporary,1,3-12,2,
dry_bean_uci,dry_bean_uci,101,101,SC-SHIL-contemporary,2,10-12,2,
dry_bean_uci,dry_bean_uci,131,131,SC-L1-fixed-C,1,3-12,2,
dry_bean_uci,dry_bean_uci,131,131,SC-L1-fixed-C,2,9-10,2,
dry_bean_uci,dry_bean_uci,131,131,SC-SHIL-contemporary,1,3-12,2,
dry_bean_uci,dry_bean_uci,131,131,SC-SHIL-contemporary,2,10-12,2,
dry_bean_uci,dry_bean_uci,157,157,SC-L1-fixed-C,1,3-12,2,
dry_bean_uci,dry_bean_uci,157,157,SC-L1-fixed-C,2,9-10,2,
dry_bean_uci,dry_bean_uci,157,157,SC-SHIL-contemporary,1,3-12,2,
dry_bean_uci,dry_bean_uci,157,157,SC-SHIL-contemporary,2,10-12,2,
dry_bean_uci,dry_bean_uci,181,181,SC-L1-fixed-C,1,9-10,2,
dry_bean_uci,dry_bean_uci,181,181,SC-SHIL-contemporary,1,3-12,2,
dry_bean_uci,dry_bean_uci,181,181,SC-SHIL-contemporary,2,10-12,2,
