q,pi,support_size,validation_log_loss,validation_log_loss_se,support,base_method,chosen,dataset,scenario,data_seed,split_seed
4,0.9,2,0.20059050015338237,0.010697736471056847,3-12;9-10,l1_fixed,True,dry_bean_uci,dry_bean_uci,131,131
4,0.7,3,0.19663632633415534,0.010549004619523841,3-12;9-10;10-12,l1_fixed,False,dry_bean_uci,dry_bean_uci,131,131
4,0.6,4,0.19684462272990305,0.010573146773991019,3-12;9-10;9-15;10-12,l1_fixed,False,dry_bean_uci,dry_bean_uci,131,131
8,0.9,5,0.19646313431139512,0.010555486562604625,1-12;3-12;7-12;9-10;10-12,l1_fixed,False,dry_bean_uci,dry_bean_uci,131,131
8,0.8,6,0.196755792544021,0.010603391386767821,1-12;3-12;7-12;9-10;9-15;10-12,l1_fixed,False,dry_bean_uci,dry_bean_uci,131,131
8,0.7,7,0.19654827500152952,0.01058930107770749,1-12;3-12;7-12;9-10;9-10-12;9-15;10-12,l1_fixed,False,dry_bean_uci,dry_bean_uci,131,131
8,0.6,8,0.19812145661797,0.010899746649564656,1-12;3-12;4-11-14;7-12;9-10;9-10-12;9-15;10-12,l1_fixed,False,dry_bean_uci,dry_bean_uci,131,131
16,0.9,13,0.19828999611005294,0.011031693523088696,1-3-12;1-12;2-12;3-7-12;3-12;4-11-14;7-12;9-10;9-10-12;9-15;10-12;12-13;12-15,l1_fixed,False,dry_bean_uci,dry_bean_uci,131,131
16,0.7,14,0.19768796914233985,0.010984013942916121,1-3-12;1-12;2-12;3-7-12;3-12;4-5-11;4-11-14;7-12;9-10;9-10-12;9-15;10-12;12-13;12-15,l1_fixed,False,dry_bean_uci,dry_bean_uci,131,131
4,0.9,1,0.2063617882084494,0.010649580012861995,10-12,shil,False,dry_bean_uci,dry_bean_uci,131,131
4,0.8,2,0.20401733062023053,0.010619243441593566,3-12;10-12,shil,True,dry_bean_uci,dry_bean_uci,131,131
8,0.9,4,0.2040763813880111,0.010687277429420728,0-12;3-12;6-12;10-12,shil,False,dry_bean_uci,dry_bean_uci,131,131
8,0.8,5,0.20000767352253027,0.010587375220385543,0-12;3-12;6-12;10-12;10-13,shil,False,dry_bean_uci,dry_bean_uci,131,131
8,0.6,6,0.19861797429624167,0.01068523099837804,0-12;3-12;6-12;10-12;10-13;10-15,shil,False,dry_bean_uci,dry_bean_uci,131,131
16,0.9,9,0.19554150949158058,0.010657597557413608,0-12;1-12;3-12;6-12;7-12;9-10;9-10-12;10-12;10-13,shil,False,dry_bean_uci,dry_bean_uci,131,131
16,0.8,11,0.19638564581830634,0.010848440205878055,0-12;1-12;3-12;6-12;7-12;8-10;9-10;9-10-12;10-12;10-13;10-15,shil,False,dry_bean_uci,dry_bean_uci,131,131
16,0.6,14,0.19717583711661266,0.010862531547351024,0-12;1-9-10;1-12;3-10;3-12;6-12;7-12;8-10;9-10;9-10-12;9-10-15;10-12;10-13;10-15,shil,False,dry_bean_uci,dry_bean_uci,131,131
