phase,base_method,q,edge_index,edge,frequency,dataset,scenario,data_seed,split_seed
tuning_train,l1_fixed,4,0,0-1,0.0,dry_bean_uci,dry_bean_uci,37,37
tuning_train,l1_fixed,4,1,0-2,0.0,dry_bean_uci,dry_bean_uci,37,37
tuning_train,l1_fixed,4,2,0-3,0.0,dry_bean_uci,dry_bean_uci,37,37
tuning_train,l1_fixed,4,3,0-4,0.0,dry_bean_uci,dry_bean_uci,37,37
tuning_train,l1_fixed,4,4,0-5,0.0,dry_bean_uci,dry_bean_uci,37,37
tuning_train,l1_fixed,4,5,0-6,0.0,dry_bean_uci,dry_bean_uci,37,37
tuning_train,l1_fixed,4,6,0-7,0.0,dry_bean_uci,dry_bean_uci,37,37
tuning_train,l1_fixed,4,7,0-8,0.0,dry_bean_uci,dry_bean_uci,37,37
tuning_train,l1_fixed,4,8,0-9,0.0,dry_bean_uci,dry_bean_uci,37,37
tuning_train,l1_fixed,4,9,0-10,0.0,dry_bean_uci,dry_bean_uci,37,37
tuning_train,l1_fixed,4,10,0-11,0.0,dry_bean_uci,dry_bean_uci,37,37
tuning_train,l1_fixed,4,11,0-12,0.0,dry_bean_uci,dry_bean_uci,37,37
tuning_train,l1_fixed,4,12,0-13,0.0,dry_bean_uci,dry_bean_uci,37,37
tuning_train,l1_fixed,4,13,0-14,0.0,dry_bean_uci,dry_bean_uci,37,37
tuning_train,l1_fixed,4,14,0-15,0.0,dry_bean_uci,dry_bean_uci,37,37
tuning_train,l1_fixed,4,15,1-2,0.0,dry_bean_uci,dry_bean_uci,37,37
tuning_train,l1_fixed,4,16,1-3,0.0,dry_bean_uci,dry_bean_uci,37,37
tuning_train,l1_fixed,4,17,1-4,0.0,dry_bean_uci,dry_bean_uci,37,37
tuning_train,l1_fixed,4,18,1-5,0.0,dry_bean_uci,dry_bean_uci,37,37
tuning_train,l1_fixed,4,19,1-6,0.0,dry_bean_uci,dry_bean_uci,37,37
tuning_train,l1_fixed,4,20,1-7,0.0,dry_bean_uci,dry_bean_uci,37,37
tuning_train,l1_fixed,4,21,1-8,0.0,dry_bean_uci,dry_bean_uci,37,37
tuning_train,l1_fixed,4,22,1-9,0.0,dry_bean_uci,dry_bean_uci,37,37
tuning_train,l1_fixed,4,23,1-10,0.0,dry_bean_uci,dry_bean_uci,37,37
tuning_train,l1_fixed,4,24,1-11,0.0,dry_bean_uci,dry_bean_uci,37,37
tuning_train,l1_fixed,4,25,1-12,0.625,dry_bean_uci,dry_bean_uci,37,37
tuning_train,l1_fixed,4,26,1-13,0.0,dry_bean_uci,dry_bean_uci,37,37
tuning_train,l1_fixed,4,27,1-14,0.0,dry_bean_uci,dry_bean_uci,37,37
