dataset,scenario,data_seed,split_seed,model,rank,edge,order,is_true_edge
dry_bean_uci,dry_bean_uci,53,53,SC-L1-fixed-C,1,9-10,2,
dry_bean_uci,dry_bean_uci,53,53,SC-L1-fixed-C,2,10-12,2,
dry_bean_uci,dry_bean_uci,53,53,SC-SHIL-contemporary,1,0-12,2,
dry_bean_uci,dry_bean_uci,53,53,SC-SHIL-contemporary,2,1-12,2,
dry_bean_uci,dry_bean_uci,53,53,SC-SHIL-contemporary,3,3-10,2,
dry_bean_uci,dry_bean_uci,53,53,SC-SHIL-contemporary,4,3-12,2,
dry_bean_uci,dry_bean_uci,53,53,SC-SHIL-contemporary,5,6-12,2,
dry_bean_uci,dry_bean_uci,53,53,SC-SHIL-contemporary,6,7-12,2,
dry_bean_uci,dry_bean_uci,53,53,SC-SHIL-contemporary,7,9-10,2,
dry_bean_uci,dry_bean_uci,53,53,SC-SHIL-contemporary,8,10-12,2,
dry_bean_uci,dry_bean_uci,53,53,SC-SHIL-contemporary,9,10-13,2,
dry_bean_uci,dry_bean_uci,53,53,SC-SHIL-contemporary,10,1-9-10,3,
dry_bean_uci,dry_bean_uci,53,53,SC-SHIL-contemporary,11,9-10-12,3,
