dataset,scenario,data_seed,split_seed,model,feature_count,candidate_edges,selected_edges,refit_seconds,predict_seconds,peak_rss_bytes,accuracy,macro_f1,log_loss,roc_auc_ovr,support_precision,support_recall,support_f1,false_inclusions,false_discovery_proportion,equivalence_precision,equivalence_recall,selection_seconds,selected_c,chosen_q,chosen_pi,base_fit_count,warning_count,tuning_support_size,final_support_size,validation_log_loss,validation_log_loss_se,one_se_ceiling,run_mean_jaccard
dry_bean_uci,dry_bean_uci,11,11,L1-full,16,680,608,5.007402799092233,0.0317963538691401,283332608,0.9210429673154608,0.9355265947253166,0.2178733328338589,0.9942445901037396,,,,,,,,623.3930979836732,0.25,,,5,0,,,,,,0.9362932057623945
dry_bean_uci,dry_bean_uci,11,11,L1-top8,16,680,8,0.2225044830702245,0.0011961301788687,228978688,0.9214102093279471,0.9371299691342668,0.219963291733775,0.9940715102006468,,,,,,,,623.3930979836732,0.25,8.0,,5,0,,,,,,0.7925925925925925
dry_bean_uci,dry_bean_uci,11,11,L1-match,16,680,2,0.1959612132050097,0.0009560482576489,228978688,0.9203084832904884,0.93627628573548,0.2187538419290979,0.9941594028601796,,,,,,,,623.3930979836732,0.25,2.0,,5,0,,,,,,0.6313131313131312
dry_bean_uci,dry_bean_uci,11,11,SHIL-k8,16,680,8,0.2015571016818285,0.001244090963155,228978688,0.9217774513404332,0.9369587187906396,0.2138328753881277,0.9942828911046874,,,,,,,,9.982987402006984,,8.0,,1,0,,,,,,0.5551066217732883
dry_bean_uci,dry_bean_uci,11,11,SC-L1,16,680,3,0.1957953320816159,0.0009905691258609,371810304,0.9206757253029748,0.9365286732202296,0.2180512126454875,0.9941971157948004,,,,,,,,24333.455326425377,,4.0,0.9,80,0,3.0,3.0,0.2129095724507422,0.0123662496609918,0.2228321228184078,0.5648148148148148
dry_bean_uci,dry_bean_uci,11,11,SC-SHIL,16,680,2,0.2072778712026775,0.0009493282996118,303620096,0.919573999265516,0.9358063228048812,0.2229275707071375,0.9939154440040464,,,,,,,,363.07093582767993,,4.0,0.9,80,0,2.0,2.0,0.2173160642515644,0.0122855207604799,0.227092157482546,0.8535353535353535
dry_bean_uci,dry_bean_uci,23,23,L1-full,16,680,630,5.936063785105944,0.0284110051579773,285405184,0.9170033051781123,0.93200716542619,0.2189867926393915,0.9944863956942708,,,,,,,,596.2347482908517,0.25,,,5,0,,,,,,0.942656697691921
dry_bean_uci,dry_bean_uci,23,23,L1-top8,16,680,8,0.2064629038795828,0.0012251697480678,229134336,0.9177377892030848,0.9330178202521822,0.2193952914463776,0.9944730077228572,,,,,,,,596.2347482908517,0.25,8.0,,5,0,,,,,,0.8271604938271604
dry_bean_uci,dry_bean_uci,23,23,L1-match,16,680,2,0.1812547259032726,0.0010053287260234,229134336,0.9170033051781123,0.9322466569247356,0.2233384942345233,0.9943140969430124,,,,,,,,596.2347482908517,0.25,2.0,,5,0,,,,,,0.6313131313131312
dry_bean_uci,dry_bean_uci,23,23,SHIL-k8,16,680,8,0.2258632718585431,0.0012502507306635,229134336,0.9144326110907088,0.9306248837145183,0.2240728214905915,0.9942533610978932,,,,,,,,10.058874737937003,,8.0,,1,0,,,,,,0.6430976430976431
dry_bean_uci,dry_bean_uci,23,23,SC-L1,16,680,2,0.161086552310735,0.0010002884082496,372006912,0.9170033051781123,0.9321585535682992,0.22287713461274,0.9943469437798208,,,,,,,,23728.631110630464,,4.0,0.9,80,0,1.0,2.0,0.2007949491893874,0.0116330985282724,0.2090322046347845,0.3796296296296296
