q,pi,support_size,validation_log_loss,validation_log_loss_se,support,base_method,chosen,dataset,scenario,data_seed,split_seed
4,0.9,2,0.2173160642515644,0.0122855207604799,3-12;10-12,shil,True,dry_bean_uci,dry_bean_uci,11,11
4,0.6,3,0.2185597719428136,0.0124967521344441,3-12;10-12;10-13,shil,False,dry_bean_uci,dry_bean_uci,11,11
8,0.9,5,0.2169972118038546,0.0122793974674908,0-12;1-12;3-12;6-12;10-12,shil,False,dry_bean_uci,dry_bean_uci,11,11
8,0.7,6,0.217782333703681,0.0124667147031892,0-12;1-12;3-12;6-12;10-12;10-13,shil,False,dry_bean_uci,dry_bean_uci,11,11
8,0.6,8,0.2143427006113398,0.0127494568712062,0-12;1-12;3-12;6-12;8-10;9-10;10-12;10-13,shil,False,dry_bean_uci,dry_bean_uci,11,11
16,0.9,10,0.2143621854923026,0.01272738387896,0-12;1-12;3-12;6-12;7-12;8-10;9-10;9-10-12;10-12;10-13,shil,False,dry_bean_uci,dry_bean_uci,11,11
16,0.7,12,0.2143736572140319,0.0127503030769237,0-12;1-9-10;1-12;3-10;3-12;6-12;7-12;8-10;9-10;9-10-12;10-12;10-13,shil,False,dry_bean_uci,dry_bean_uci,11,11
4,0.9,3,0.2129095724507422,0.0123662496609918,1-12;3-12;9-10,l1,True,dry_bean_uci,dry_bean_uci,11,11
8,0.9,6,0.2108833016291185,0.01235773645038,1-12;3-12;4-11-14;7-12;9-10;10-12,l1,False,dry_bean_uci,dry_bean_uci,11,11
8,0.7,7,0.2105417892198691,0.0122903335985386,1-12;3-12;4-11-14;7-12;9-10;9-10-12;10-12,l1,False,dry_bean_uci,dry_bean_uci,11,11
8,0.6,8,0.2107948685073386,0.0123683777830956,1-12;3-12;4-11-14;7-12;9-10;9-10-12;9-15;10-12,l1,False,dry_bean_uci,dry_bean_uci,11,11
16,0.9,12,0.2110915863992941,0.0125121887263211,1-12;2-12;3-12;4-5-11;4-11-14;7-12;9-10;9-10-12;9-15;10-12;12-13;12-15,l1,False,dry_bean_uci,dry_bean_uci,11,11
16,0.8,14,0.210729148998336,0.0124924583297915,1-3-12;1-12;2-12;3-7-12;3-12;4-5-11;4-11-14;7-12;9-10;9-10-12;9-15;10-12;12-13;12-15,l1,False,dry_bean_uci,dry_bean_uci,11,11
16,0.6,15,0.2106274761776314,0.0124743252710625,1-3-12;1-12;2-12;3-7-12;3-12;4-5-11;4-5-14;4-11-14;7-12;9-10;9-10-12;9-15;10-12;12-13;12-15,l1,False,dry_bean_uci,dry_bean_uci,11,11
4,0.9,1,0.2071442974593385,0.0118979343899296,10-12,shil,True,dry_bean_uci,dry_bean_uci,23,23
4,0.6,2,0.2058590844269163,0.0118996053576424,3-12;10-12,shil,False,dry_bean_uci,dry_bean_uci,23,23
8,0.9,4,0.206076207463201,0.0119911509394364,0-12;3-12;6-12;10-12,shil,False,dry_bean_uci,dry_bean_uci,23,23
8,0.7,5,0.2057912408272737,0.0119570982529433,0-12;1-12;3-12;6-12;10-12,shil,False,dry_bean_uci,dry_bean_uci,23,23
