q,pi,support_size,validation_log_loss,validation_log_loss_se,support,base_method,chosen,dataset,scenario,data_seed,split_seed
4,0.9,1,0.20955578502428907,0.01718611265865499,10-12,shil,True,dry_bean_uci,dry_bean_uci,157,157
4,0.8,2,0.20878642070959377,0.017308400759627463,3-12;10-12,shil,False,dry_bean_uci,dry_bean_uci,157,157
8,0.9,3,0.20852660855712882,0.01729028511719521,3-12;6-12;10-12,shil,False,dry_bean_uci,dry_bean_uci,157,157
8,0.8,5,0.2053124230270864,0.01704360143937864,0-12;3-12;6-12;10-12;10-13,shil,False,dry_bean_uci,dry_bean_uci,157,157
8,0.7,6,0.20520961322299028,0.017044493377343706,0-12;1-12;3-12;6-12;10-12;10-13,shil,False,dry_bean_uci,dry_bean_uci,157,157
8,0.6,7,0.20460102925821072,0.015411203976890329,0-12;1-12;3-12;6-12;10-12;10-13;10-15,shil,False,dry_bean_uci,dry_bean_uci,157,157
16,0.9,10,0.19911181382961055,0.017014448238915875,0-12;1-12;3-10;3-12;6-12;7-12;9-10;9-10-12;10-12;10-13,shil,False,dry_bean_uci,dry_bean_uci,157,157
16,0.8,11,0.20017569002057015,0.017031967368262242,0-12;1-9-10;1-12;3-10;3-12;6-12;7-12;9-10;9-10-12;10-12;10-13,shil,False,dry_bean_uci,dry_bean_uci,157,157
16,0.7,12,0.19923012430929465,0.014763587143219232,0-12;1-9-10;1-12;3-10;3-12;6-12;7-12;9-10;9-10-12;10-12;10-13;10-15,shil,False,dry_bean_uci,dry_bean_uci,157,157
4,0.9,1,0.20234266022380237,0.017122316845218685,9-10,l1,True,dry_bean_uci,dry_bean_uci,157,157
4,0.8,2,0.20319617232745482,0.017277989400442072,3-12;9-10,l1,False,dry_bean_uci,dry_bean_uci,157,157
4,0.7,4,0.20062506531599544,0.01714109693332879,1-12;3-12;9-10;10-12,l1,False,dry_bean_uci,dry_bean_uci,157,157
8,0.9,6,0.20092962101892972,0.017223370282561042,1-12;3-12;7-12;9-10;9-10-12;10-12,l1,False,dry_bean_uci,dry_bean_uci,157,157
8,0.6,7,0.2007428117603641,0.017264043440904497,1-12;3-12;7-12;9-10;9-10-12;10-12;12-13,l1,False,dry_bean_uci,dry_bean_uci,157,157
16,0.9,11,0.19859866674886373,0.017252417675195402,1-3-12;1-12;2-12;3-7-12;3-12;4-11-14;7-12;9-10;9-10-12;10-12;12-13,l1,False,dry_bean_uci,dry_bean_uci,157,157
16,0.8,12,0.1985447541597789,0.017230655866528482,1-3-12;1-12;2-12;3-7-12;3-12;4-11-14;7-12;9-10;9-10-12;10-12;12-13;12-15,l1,False,dry_bean_uci,dry_bean_uci,157,157
16,0.7,14,0.20042841923348062,0.0173831820242586,1-3-12;1-12;2-12;3-7-12;3-12;4-5-11;4-11-14;7-12;9-10;9-10-12;9-15;10-12;12-13;12-15,l1,False,dry_bean_uci,dry_bean_uci,157,157
16,0.6,16,0.19997027485139338,0.017322507684144624,1-3-12;1-7-12;1-12;2-12;3-7-12;3-12;4-5-11;4-11-14;6-12;7-12;9-10;9-10-12;9-15;10-12;12-13;12-15,l1,False,dry_bean_uci,dry_bean_uci,157,157
