dataset,scenario,data_seed,split_seed,model,rank,edge,order,is_true_edge
dry_bean_uci,dry_bean_uci,157,157,L1-full,1,9-10,2,
dry_bean_uci,dry_bean_uci,157,157,L1-full,2,3-12,2,
dry_bean_uci,dry_bean_uci,157,157,L1-full,3,10-12,2,
dry_bean_uci,dry_bean_uci,157,157,L1-full,4,1-12,2,
dry_bean_uci,dry_bean_uci,157,157,L1-full,5,9-10-12,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,6,7-12,2,
dry_bean_uci,dry_bean_uci,157,157,L1-full,7,12-13,2,
dry_bean_uci,dry_bean_uci,157,157,L1-full,8,12-15,2,
dry_bean_uci,dry_bean_uci,157,157,L1-full,9,9-10-15,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,10,2-12,2,
dry_bean_uci,dry_bean_uci,157,157,L1-full,11,4-11-14,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,12,6-12,2,
dry_bean_uci,dry_bean_uci,157,157,L1-full,13,0-12,2,
dry_bean_uci,dry_bean_uci,157,157,L1-full,14,3-7-12,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,15,10-15,2,
dry_bean_uci,dry_bean_uci,157,157,L1-full,16,1-3-12,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,17,9-15,2,
dry_bean_uci,dry_bean_uci,157,157,L1-full,18,1-10,2,
dry_bean_uci,dry_bean_uci,157,157,L1-full,19,13-15,2,
dry_bean_uci,dry_bean_uci,157,157,L1-full,20,4-5-11,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,21,3-9-10,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,22,4-5-14,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,23,1-7-12,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,24,14-15,2,
dry_bean_uci,dry_bean_uci,157,157,L1-full,25,5-11-14,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,26,11-15,2,
dry_bean_uci,dry_bean_uci,157,157,L1-full,27,10-13,2,
dry_bean_uci,dry_bean_uci,157,157,L1-full,28,1-9-10,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,29,3-10,2,
dry_bean_uci,dry_bean_uci,157,157,L1-full,30,1-3,2,
dry_bean_uci,dry_bean_uci,157,157,L1-full,31,3-7,2,
dry_bean_uci,dry_bean_uci,157,157,L1-full,32,5-12,2,
dry_bean_uci,dry_bean_uci,157,157,L1-full,33,2-7-12,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,34,7-9-10,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,35,1-7,2,
dry_bean_uci,dry_bean_uci,157,157,L1-full,36,5-15,2,
dry_bean_uci,dry_bean_uci,157,157,L1-full,37,9-10-13,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,38,7-10,2,
dry_bean_uci,dry_bean_uci,157,157,L1-full,39,1-10-12,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,40,4-15,2,
dry_bean_uci,dry_bean_uci,157,157,L1-full,41,1-2-12,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,42,2-3-12,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,43,2-3,2,
dry_bean_uci,dry_bean_uci,157,157,L1-full,44,8-10,2,
dry_bean_uci,dry_bean_uci,157,157,L1-full,45,0-3-12,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,46,3-6-12,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,47,9-12,2,
dry_bean_uci,dry_bean_uci,157,157,L1-full,48,3-6,2,
dry_bean_uci,dry_bean_uci,157,157,L1-full,49,0-3,2,
dry_bean_uci,dry_bean_uci,157,157,L1-full,50,1-15,2,
dry_bean_uci,dry_bean_uci,157,157,L1-full,51,4-9-15,3,
dry_bean_uci,dry_bean_uci,157,157,L1-full,52,3-13,2,
dry_bean_uci,dry_bean_uci,157,157,L1-full,53,12-14,2,
dry_bean_uci,dry_bean_uci,157,157,L1-full,54,7-15,2,
