dataset,scenario,data_seed,split_seed,model,feature_count,candidate_edges,selected_edges,refit_seconds,predict_seconds,peak_rss_bytes,accuracy,macro_f1,log_loss,roc_auc_ovr,support_precision,support_recall,support_f1,false_inclusions,false_discovery_proportion,equivalence_precision,equivalence_recall,selection_seconds,selected_c,chosen_q,chosen_pi,base_fit_count,warning_count,tuning_support_size,final_support_size,validation_log_loss,validation_log_loss_se,one_se_ceiling,run_mean_jaccard
S01,S01,1103,1103,L1-full,16,680,30,0.0049907999928109,0.0005436999781522,232615936,0.8892857142857142,0.889250398724083,0.2673966725644247,0.9576913265306124,0.1,1.0,0.1818181818181818,27,0.9,,,0.4233911999908741,0.05,,,5,0,,,,,,0.06782391535749627
S01,S01,1103,1103,L1-top8,16,680,8,0.0045709999976679,0.0004123999970033,232706048,0.8928571428571429,0.8928079220050023,0.2423228734125698,0.9639413265306122,0.375,1.0,0.5454545454545454,5,0.625,,,0.4233911999908741,0.05,8.0,,5,0,,,,,,0.23076923076923078
S01,S01,1103,1103,L1-match,16,680,3,0.00438570001279,0.0002794999745674,232714240,0.8928571428571429,0.8928079220050023,0.2393194913430457,0.9644132653061224,1.0,1.0,1.0,0,0.0,,,0.4233911999908741,0.05,3.0,,5,0,,,,,,1.0
S01,S01,1103,1103,SHIL-k8,16,680,8,0.0041351999971084,0.0003674000035971,232714240,0.8875,0.8874709347758828,0.2402451634401958,0.9640306122448978,0.375,1.0,0.5454545454545454,5,0.625,,,0.5570608999987599,,8.0,,1,0,,,,,,0.23076923076923078
S01,S01,1103,1103,SC-L1,16,680,3,0.0033863999997265,0.0002080999838653,286912512,0.8928571428571429,0.8928079220050023,0.2393194913430457,0.9644132653061224,1.0,1.0,1.0,0,0.0,,,13.513038500008406,,4.0,0.9,80,0,3.0,3.0,0.1958884524230715,0.0170408780924293,0.2129293305155008,1.0
S01,S01,1103,1103,SC-SHIL,16,680,3,0.0030795999919064,0.0002083999861497,252948480,0.8928571428571429,0.8928079220050023,0.2393194913430457,0.9644132653061224,1.0,1.0,1.0,0,0.0,,,19.749060899979668,,4.0,0.9,80,0,3.0,3.0,0.1958884524230715,0.0170408780924293,0.2129293305155008,1.0
S01,S01,1129,1129,L1-full,16,680,37,0.0070106000057421,0.0018602999916765,235589632,0.8678571428571429,0.8677964371395028,0.2910572016939604,0.950063775510204,0.081081081081081,1.0,0.15,34,0.918918918918919,,,0.5169961999927182,0.05,,,5,0,,,,,,0.07653525084925426
S01,S01,1129,1129,L1-top8,16,680,8,0.0063459999801125,0.0005259999888949,235601920,0.8982142857142857,0.8981879886067511,0.2378138862229749,0.9653954081632654,0.375,1.0,0.5454545454545454,5,0.625,,,0.5169961999927182,0.05,8.0,,5,0,,,,,,0.25356125356125353
S01,S01,1129,1129,L1-match,16,680,3,0.0079255000164266,0.0007232000061776,235610112,0.8910714285714286,0.8910544058223383,0.2322860724842293,0.9669132653061224,1.0,1.0,1.0,0,0.0,,,0.5169961999927182,0.05,3.0,,5,0,,,,,,1.0
S01,S01,1129,1129,SHIL-k8,16,680,8,0.0071442000044044,0.0005344000237528,235610112,0.8892857142857142,0.88928430209569,0.2355461617144604,0.9655102040816328,0.375,1.0,0.5454545454545454,5,0.625,,,0.5194897000037599,,8.0,,1,0,,,,,,0.24216524216524216
