scenario,model,runs,candidate_edges,pairwise_jaccard_mean,pairwise_jaccard_sd,pairwise_jaccard_min,pairwise_jaccard_max,nogueira_stability
S01,L1-full,10,680,0.06886924571341145,0.017411524726897856,0.038461538461538464,0.11290322580645161,0.033491743153710396
S01,L1-match,10,680,1.0,0.0,1.0,1.0,1.0
S01,L1-top8,10,680,0.23760683760683754,0.02587307585176989,0.23076923076923078,0.3333333333333333,0.3759920634920634
S01,SC-L1,10,680,1.0,0.0,1.0,1.0,1.0
S01,SC-SHIL,10,680,1.0,0.0,1.0,1.0,1.0
S01,SHIL-k8,10,680,0.23760683760683754,0.02587307585176989,0.23076923076923078,0.3333333333333333,0.3759920634920634
S02,L1-full,10,680,0.07830720383814763,0.021382594654140923,0.03773584905660377,0.13157894736842105,0.06852224818479613
S02,L1-match,10,680,1.0,0.0,1.0,1.0,1.0
S02,L1-top8,10,680,0.233048433048433,0.015289353692306246,0.23076923076923078,0.3333333333333333,0.37037037037037024
S02,SC-L1,10,680,1.0,0.0,1.0,1.0,1.0
S02,SC-SHIL,10,680,1.0,0.0,1.0,1.0,1.0
S02,SHIL-k8,10,680,0.23760683760683754,0.02587307585176989,0.23076923076923078,0.3333333333333333,0.3759920634920634
S03,L1-full,10,680,0.08373718923664172,0.019201099204289283,0.053125,0.12903225806451613,0.05362298797897569
S03,L1-match,10,680,1.0,0.0,1.0,1.0,1.0
S03,L1-top8,10,680,0.33333333333333337,5.613841578793539e-17,0.3333333333333333,0.3333333333333333,0.49404761904761885
S03,SC-L1,10,680,1.0,0.0,1.0,1.0,1.0
S03,SC-SHIL,10,680,1.0,0.0,1.0,1.0,1.0
S03,SHIL-k8,10,680,0.33872053872053876,0.02526170631999912,0.3333333333333333,0.45454545454545453,0.499669312169312
S04,L1-full,10,680,0.11219983920676631,0.04330335066085715,0.028169014084507043,0.18454935622317598,0.03741871820293308
S04,L1-match,10,680,1.0,0.0,1.0,1.0,1.0
S04,L1-top8,10,680,0.35050505050505054,0.03870989060546459,0.3333333333333333,0.5,0.5119104195322886
S04,SC-L1,10,680,1.0,0.0,1.0,1.0,1.0
S04,SC-SHIL,10,680,1.0,0.0,1.0,1.0,1.0
S04,SHIL-k8,10,680,0.33872053872053876,0.02526170631999912,0.3333333333333333,0.45454545454545453,0.4996693121693121
S05,L1-full,10,680,0.11153113380650473,0.020948058689332288,0.07177033492822966,0.16145833333333334,0.041327811621602484
S05,L1-match,10,680,1.0,0.0,1.0,1.0,1.0
S05,L1-top8,10,680,0.33602693602693606,0.018069236181816488,0.3333333333333333,0.45454545454545453,0.49685846560846547
S05,SC-L1,10,680,1.0,0.0,1.0,1.0,1.0
S05,SC-SHIL,10,680,1.0,0.0,1.0,1.0,1.0
S05,SHIL-k8,10,680,0.33872053872053876,0.02526170631999912,0.3333333333333333,0.45454545454545453,0.4996693121693121
S06,L1-full,10,5456,0.03282343359260978,0.00720816151899721,0.013477088948787063,0.04696132596685083,0.02893085046866084
S06,L1-match,10,5456,1.0,0.0,1.0,1.0,1.0
