phase,base_method,half_index,half_rows,fit_rows,inner_val_rows,active_edges,selected_c,fit_seconds,warning_count,warnings,dataset,scenario,data_seed,split_seed
tuning_train,shil,0,840,672,168,680,,0.2215128999960143,0,,S01,S01,1103,1103
tuning_train,shil,1,840,672,168,680,,0.20024939998984337,0,,S01,S01,1103,1103
tuning_train,shil,2,840,672,168,680,,0.18495419999817386,0,,S01,S01,1103,1103
tuning_train,shil,3,840,672,168,680,,0.22003589998348616,0,,S01,S01,1103,1103
tuning_train,shil,4,840,672,168,680,,0.22450209999806248,0,,S01,S01,1103,1103
tuning_train,shil,5,840,672,168,680,,0.20616689999587834,0,,S01,S01,1103,1103
tuning_train,shil,6,840,672,168,680,,0.22033579999697395,0,,S01,S01,1103,1103
tuning_train,shil,7,840,672,168,680,,0.1995625999988988,0,,S01,S01,1103,1103
tuning_train,shil,8,840,672,168,680,,0.18968660000246018,0,,S01,S01,1103,1103
tuning_train,shil,9,840,672,168,680,,0.24138110000058077,0,,S01,S01,1103,1103
tuning_train,shil,10,840,672,168,680,,0.3051223999937065,0,,S01,S01,1103,1103
tuning_train,shil,11,840,672,168,680,,0.2941205999813974,0,,S01,S01,1103,1103
tuning_train,shil,12,840,672,168,680,,0.25855260001844727,0,,S01,S01,1103,1103
tuning_train,shil,13,840,672,168,680,,0.22974849998718128,0,,S01,S01,1103,1103
tuning_train,shil,14,840,672,168,680,,0.20954869998968206,0,,S01,S01,1103,1103
tuning_train,shil,15,840,672,168,680,,0.2391481999948155,0,,S01,S01,1103,1103
tuning_train,shil,16,840,672,168,680,,0.2317345000046771,0,,S01,S01,1103,1103
tuning_train,shil,17,840,672,168,680,,0.22531790001085028,0,,S01,S01,1103,1103
tuning_train,shil,18,840,672,168,680,,0.18045539999729954,0,,S01,S01,1103,1103
tuning_train,shil,19,840,672,168,680,,0.18553170000086538,0,,S01,S01,1103,1103
tuning_train,shil,20,840,672,168,680,,0.23765110000385903,0,,S01,S01,1103,1103
tuning_train,shil,21,840,672,168,680,,0.21995949998381548,0,,S01,S01,1103,1103
tuning_train,shil,22,840,672,168,680,,0.21054329999606125,0,,S01,S01,1103,1103
tuning_train,shil,23,840,672,168,680,,0.1741102000232786,0,,S01,S01,1103,1103
tuning_train,shil,24,840,672,168,680,,0.14926659999764524,0,,S01,S01,1103,1103
tuning_train,shil,25,840,672,168,680,,0.16866049999953248,0,,S01,S01,1103,1103
tuning_train,shil,26,840,672,168,680,,0.18963549999170937,0,,S01,S01,1103,1103
tuning_train,shil,27,840,672,168,680,,0.19673530000727624,0,,S01,S01,1103,1103
tuning_train,shil,28,840,672,168,680,,0.18965980000211857,0,,S01,S01,1103,1103
tuning_train,shil,29,840,672,168,680,,0.1718620000174269,0,,S01,S01,1103,1103
tuning_train,shil,30,840,672,168,680,,0.19205320000764914,0,,S01,S01,1103,1103
tuning_train,shil,31,840,672,168,680,,0.19793669998762198,0,,S01,S01,1103,1103
tuning_train,shil,32,840,672,168,680,,0.18974910001270473,0,,S01,S01,1103,1103
tuning_train,shil,33,840,672,168,680,,0.2087891999981366,0,,S01,S01,1103,1103
tuning_train,shil,34,840,672,168,680,,0.24374329997226596,0,,S01,S01,1103,1103
tuning_train,shil,35,840,672,168,680,,0.26677050002035685,0,,S01,S01,1103,1103
tuning_train,shil,36,840,672,168,680,,0.24626499999430962,0,,S01,S01,1103,1103
tuning_train,shil,37,840,672,168,680,,0.23493580002104864,0,,S01,S01,1103,1103
tuning_train,shil,38,840,672,168,680,,0.2266908999881707,0,,S01,S01,1103,1103
tuning_train,shil,39,840,672,168,680,,0.19936849997611716,0,,S01,S01,1103,1103
final_development,shil,0,1120,896,224,680,,0.2780382999917492,0,,S01,S01,1103,1103
final_development,shil,1,1120,896,224,680,,0.23112199999741279,0,,S01,S01,1103,1103
final_development,shil,2,1120,896,224,680,,0.25843609997536987,0,,S01,S01,1103,1103
final_development,shil,3,1120,896,224,680,,0.24801949999528006,0,,S01,S01,1103,1103
final_development,shil,4,1120,896,224,680,,0.28420729999197647,0,,S01,S01,1103,1103
final_development,shil,5,1120,896,224,680,,0.2626008999941405,0,,S01,S01,1103,1103
final_development,shil,6,1120,896,224,680,,0.24639739998383448,0,,S01,S01,1103,1103
final_development,shil,7,1120,896,224,680,,0.2333929000014905,0,,S01,S01,1103,1103
final_development,shil,8,1120,896,224,680,,0.2419722000195179,0,,S01,S01,1103,1103
final_development,shil,9,1120,896,224,680,,0.2861607999948319,0,,S01,S01,1103,1103
final_development,shil,10,1120,896,224,680,,0.301652499998454,0,,S01,S01,1103,1103
final_development,shil,11,1120,896,224,680,,0.36204500001622364,0,,S01,S01,1103,1103
final_development,shil,12,1120,896,224,680,,0.27769220000482164,0,,S01,S01,1103,1103
final_development,shil,13,1120,896,224,680,,0.24958939998759888,0,,S01,S01,1103,1103
final_development,shil,14,1120,896,224,680,,0.33805359998950735,0,,S01,S01,1103,1103
final_development,shil,15,1120,896,224,680,,0.30180590000236407,0,,S01,S01,1103,1103
final_development,shil,16,1120,896,224,680,,0.27229540000553243,0,,S01,S01,1103,1103
final_development,shil,17,1120,896,224,680,,0.21939120002207346,0,,S01,S01,1103,1103
final_development,shil,18,1120,896,224,680,,0.21119800000451505,0,,S01,S01,1103,1103
final_development,shil,19,1120,896,224,680,,0.2098448000033386,0,,S01,S01,1103,1103
final_development,shil,20,1120,896,224,680,,0.2359555999864824,0,,S01,S01,1103,1103
final_development,shil,21,1120,896,224,680,,0.22255599999334663,0,,S01,S01,1103,1103
final_development,shil,22,1120,896,224,680,,0.26242220000131056,0,,S01,S01,1103,1103
final_development,shil,23,1120,896,224,680,,0.25289600001997314,0,,S01,S01,1103,1103
final_development,shil,24,1120,896,224,680,,0.25221120001515374,0,,S01,S01,1103,1103
final_development,shil,25,1120,896,224,680,,0.3441529999836348,0,,S01,S01,1103,1103
final_development,shil,26,1120,896,224,680,,0.2916603999910876,0,,S01,S01,1103,1103
final_development,shil,27,1120,896,224,680,,0.32145190000301227,0,,S01,S01,1103,1103
final_development,shil,28,1120,896,224,680,,0.26797079999232665,0,,S01,S01,1103,1103
final_development,shil,29,1120,896,224,680,,0.2616338000225369,0,,S01,S01,1103,1103
final_development,shil,30,1120,896,224,680,,0.3346804999746382,0,,S01,S01,1103,1103
final_development,shil,31,1120,896,224,680,,0.3049748999765143,0,,S01,S01,1103,1103
final_development,shil,32,1120,896,224,680,,0.2876949999772478,0,,S01,S01,1103,1103
final_development,shil,33,1120,896,224,680,,0.2948403999907896,0,,S01,S01,1103,1103
final_development,shil,34,1120,896,224,680,,0.2962949000066146,0,,S01,S01,1103,1103
final_development,shil,35,1120,896,224,680,,0.27222279997658916,0,,S01,S01,1103,1103
final_development,shil,36,1120,896,224,680,,0.4253731000062544,0,,S01,S01,1103,1103
final_development,shil,37,1120,896,224,680,,0.33864440000616014,0,,S01,S01,1103,1103
final_development,shil,38,1120,896,224,680,,0.2232640000001993,0,,S01,S01,1103,1103
final_development,shil,39,1120,896,224,680,,0.23525229998631403,0,,S01,S01,1103,1103
tuning_train,l1,0,840,672,168,134,0.25,0.13220089999958873,0,,S01,S01,1103,1103
tuning_train,l1,1,840,672,168,125,0.25,0.12638800000422634,0,,S01,S01,1103,1103
tuning_train,l1,2,840,672,168,135,0.25,0.11220410000532866,0,,S01,S01,1103,1103
