q,pi,support_size,validation_log_loss,validation_log_loss_se,support,base_method,chosen,dataset,scenario,data_seed,split_seed
4,0.9,3,0.19588845242307157,0.017040878092429303,0-1;2-3;4-5,shil,True,S01,S01,1103,1103
4,0.9,3,0.19588845242307157,0.017040878092429303,0-1;2-3;4-5,l1,True,S01,S01,1103,1103
4,0.9,3,0.2170452832303826,0.016894197760742306,0-1;2-3;4-5,shil,True,S01,S01,1129,1129
4,0.9,3,0.2170452832303826,0.016894197760742306,0-1;2-3;4-5,l1,True,S01,S01,1129,1129
4,0.9,3,0.19060021614454895,0.015502395681525715,0-1;2-3;4-5,shil,True,S01,S01,1151,1151
4,0.9,3,0.19060021614454895,0.015502395681525715,0-1;2-3;4-5,l1,True,S01,S01,1151,1151
4,0.9,3,0.2083490127071191,0.017617046951170657,0-1;2-3;4-5,shil,True,S01,S01,1171,1171
4,0.9,3,0.2083490127071191,0.017617046951170657,0-1;2-3;4-5,l1,True,S01,S01,1171,1171
4,0.9,3,0.19389601663030548,0.016290253799466983,0-1;2-3;4-5,shil,True,S01,S01,1181,1181
4,0.9,3,0.19389601663030548,0.016290253799466983,0-1;2-3;4-5,l1,True,S01,S01,1181,1181
4,0.9,3,0.24741619279209318,0.019559559114540093,0-1;2-3;4-5,shil,True,S01,S01,1201,1201
4,0.9,3,0.24741619279209318,0.019559559114540093,0-1;2-3;4-5,l1,True,S01,S01,1201,1201
4,0.9,3,0.19489258774981377,0.01626143119255666,0-1;2-3;4-5,shil,True,S01,S01,1213,1213
4,0.9,3,0.19489258774981377,0.01626143119255666,0-1;2-3;4-5,l1,True,S01,S01,1213,1213
4,0.9,3,0.22216032126226729,0.020253512429534163,0-1;2-3;4-5,shil,True,S01,S01,1231,1231
4,0.9,3,0.22216032126226729,0.020253512429534163,0-1;2-3;4-5,l1,True,S01,S01,1231,1231
4,0.9,3,0.25298332940008367,0.020715578945627262,0-1;2-3;4-5,shil,True,S01,S01,1249,1249
4,0.9,3,0.25298332940008367,0.020715578945627262,0-1;2-3;4-5,l1,True,S01,S01,1249,1249
4,0.9,3,0.2132858022775662,0.017802010174768318,0-1;2-3;4-5,shil,True,S01,S01,1277,1277
4,0.9,3,0.2132858022775662,0.017802010174768318,0-1;2-3;4-5,l1,True,S01,S01,1277,1277
4,0.9,3,0.29514588620918514,0.02060871681524002,0-1-2;3-4-5;6-7-8,shil,True,S02,S02,1103,1103
4,0.9,3,0.29514588620918514,0.02060871681524002,0-1-2;3-4-5;6-7-8,l1,True,S02,S02,1103,1103
4,0.9,3,0.33343480831402394,0.02211727834615984,0-1-2;3-4-5;6-7-8,shil,True,S02,S02,1129,1129
4,0.9,3,0.33343480831402394,0.02211727834615984,0-1-2;3-4-5;6-7-8,l1,True,S02,S02,1129,1129
4,0.9,3,0.3183192489960481,0.020001913033634786,0-1-2;3-4-5;6-7-8,shil,True,S02,S02,1151,1151
4,0.9,3,0.3183192489960481,0.020001913033634786,0-1-2;3-4-5;6-7-8,l1,True,S02,S02,1151,1151
4,0.9,3,0.27198577883790337,0.017015096673387086,0-1-2;3-4-5;6-7-8,shil,True,S02,S02,1171,1171
4,0.9,3,0.27198577883790337,0.017015096673387086,0-1-2;3-4-5;6-7-8,l1,True,S02,S02,1171,1171
4,0.9,3,0.31506716813600966,0.019387153899390358,0-1-2;3-4-5;6-7-8,shil,True,S02,S02,1181,1181
4,0.9,3,0.31506716813600966,0.019387153899390358,0-1-2;3-4-5;6-7-8,l1,True,S02,S02,1181,1181
4,0.9,3,0.28029951969549305,0.018847902228462676,0-1-2;3-4-5;6-7-8,shil,True,S02,S02,1201,1201
4,0.9,3,0.28029951969549305,0.018847902228462676,0-1-2;3-4-5;6-7-8,l1,True,S02,S02,1201,1201
4,0.9,3,0.2869781705759154,0.01823123314827632,0-1-2;3-4-5;6-7-8,shil,True,S02,S02,1213,1213
4,0.9,3,0.2869781705759154,0.01823123314827632,0-1-2;3-4-5;6-7-8,l1,True,S02,S02,1213,1213
4,0.9,3,0.2905764070876436,0.018155082166173807,0-1-2;3-4-5;6-7-8,shil,True,S02,S02,1231,1231
4,0.9,3,0.2905764070876436,0.018155082166173807,0-1-2;3-4-5;6-7-8,l1,True,S02,S02,1231,1231
4,0.9,3,0.29681897340704483,0.018777446222614676,0-1-2;3-4-5;6-7-8,shil,True,S02,S02,1249,1249
4,0.9,3,0.29681897340704483,0.018777446222614676,0-1-2;3-4-5;6-7-8,l1,True,S02,S02,1249,1249
4,0.9,3,0.35349112196878885,0.024612882108656167,0-1-2;3-4-5;6-7-8,shil,True,S02,S02,1277,1277
4,0.9,3,0.35349112196878885,0.024612882108656167,0-1-2;3-4-5;6-7-8,l1,True,S02,S02,1277,1277
4,0.9,4,0.23402312517796808,0.021102472251300387,0-1;2-3;4-5-6;7-8-9,shil,True,S03,S03,1103,1103
4,0.9,4,0.23402312517796808,0.021102472251300387,0-1;2-3;4-5-6;7-8-9,l1,True,S03,S03,1103,1103
4,0.9,4,0.23136843546809197,0.020187775441277124,0-1;2-3;4-5-6;7-8-9,shil,True,S03,S03,1129,1129
4,0.9,4,0.23136843546809197,0.020187775441277124,0-1;2-3;4-5-6;7-8-9,l1,True,S03,S03,1129,1129
4,0.9,4,0.24433483895742572,0.018128348498008973,0-1;2-3;4-5-6;7-8-9,shil,True,S03,S03,1151,1151
4,0.9,4,0.24433483895742572,0.018128348498008973,0-1;2-3;4-5-6;7-8-9,l1,True,S03,S03,1151,1151
4,0.9,4,0.24899531995154872,0.019042421532496037,0-1;2-3;4-5-6;7-8-9,shil,True,S03,S03,1171,1171
4,0.9,4,0.24899531995154872,0.019042421532496037,0-1;2-3;4-5-6;7-8-9,l1,True,S03,S03,1171,1171
4,0.9,4,0.2361781798438972,0.01906245849832578,0-1;2-3;4-5-6;7-8-9,shil,True,S03,S03,1181,1181
4,0.9,4,0.2361781798438972,0.01906245849832578,0-1;2-3;4-5-6;7-8-9,l1,True,S03,S03,1181,1181
4,0.9,4,0.21548481030066532,0.020061889418257067,0-1;2-3;4-5-6;7-8-9,shil,True,S03,S03,1201,1201
16,0.6,5,0.21608054905448176,0.020362284411424014,0-1;2-3;4-5-6;7-8-9;9-11-13,shil,False,S03,S03,1201,1201
4,0.9,4,0.21548481030066532,0.020061889418257067,0-1;2-3;4-5-6;7-8-9,l1,True,S03,S03,1201,1201
4,0.9,4,0.2090984640839547,0.016241218729675874,0-1;2-3;4-5-6;7-8-9,shil,True,S03,S03,1213,1213
4,0.9,4,0.2090984640839547,0.016241218729675874,0-1;2-3;4-5-6;7-8-9,l1,True,S03,S03,1213,1213
4,0.9,4,0.21438074779829122,0.018540514342629585,0-1;2-3;4-5-6;7-8-9,shil,True,S03,S03,1231,1231
4,0.9,4,0.21438074779829122,0.018540514342629585,0-1;2-3;4-5-6;7-8-9,l1,True,S03,S03,1231,1231
4,0.9,4,0.2331019968562845,0.02122667265387871,0-1;2-3;4-5-6;7-8-9,shil,True,S03,S03,1249,1249
4,0.9,4,0.2331019968562845,0.02122667265387871,0-1;2-3;4-5-6;7-8-9,l1,True,S03,S03,1249,1249
4,0.9,4,0.2506344701113214,0.020633820414186613,0-1;2-3;4-5-6;7-8-9,shil,True,S03,S03,1277,1277
4,0.9,4,0.2506344701113214,0.020633820414186613,0-1;2-3;4-5-6;7-8-9,l1,True,S03,S03,1277,1277
4,0.9,4,0.21489169760216878,0.02595543070310257,0-1;2-3;4-5-6;7-8-9,shil,True,S04,S04,1103,1103
4,0.9,4,0.21489169760216878,0.02595543070310257,0-1;2-3;4-5-6;7-8-9,l1,True,S04,S04,1103,1103
4,0.9,3,0.39428432947372316,0.04446683207105818,0-1;2-3;4-5-6,shil,False,S04,S04,1129,1129
4,0.8,4,0.28605382139391083,0.03656732079456919,0-1;2-3;4-5-6;7-8-9,shil,True,S04,S04,1129,1129
4,0.9,4,0.28605382139391083,0.03656732079456919,0-1;2-3;4-5-6;7-8-9,l1,True,S04,S04,1129,1129
4,0.9,4,0.2071273779253083,0.02419425448321833,0-1;2-3;4-5-6;7-8-9,shil,True,S04,S04,1151,1151
4,0.9,4,0.2071273779253083,0.02419425448321833,0-1;2-3;4-5-6;7-8-9,l1,True,S04,S04,1151,1151
4,0.9,3,0.45343261852276384,0.05399664591933702,0-1;2-3;4-5-6,shil,False,S04,S04,1171,1171
4,0.8,4,0.2379976060431438,0.029996875962769298,0-1;2-3;4-5-6;7-8-9,shil,True,S04,S04,1171,1171
4,0.9,4,0.2379976060431438,0.029996875962769298,0-1;2-3;4-5-6;7-8-9,l1,True,S04,S04,1171,1171
4,0.9,3,0.40669525315323196,0.04686020475211675,0-1;2-3;4-5-6,shil,False,S04,S04,1181,1181
4,0.6,4,0.234531980110917,0.03875370666104369,0-1;2-3;4-5-6;7-8-9,shil,True,S04,S04,1181,1181
4,0.9,4,0.234531980110917,0.03875370666104369,0-1;2-3;4-5-6;7-8-9,l1,True,S04,S04,1181,1181
4,0.9,4,0.2366540710469261,0.030863274006172236,0-1;2-3;4-5-6;7-8-9,shil,True,S04,S04,1201,1201
4,0.9,4,0.2366540710469261,0.030863274006172236,0-1;2-3;4-5-6;7-8-9,l1,True,S04,S04,1201,1201
4,0.9,4,0.2755749976560967,0.04590831814916417,0-1;2-3;4-5-6;7-8-9,shil,True,S04,S04,1213,1213
4,0.9,4,0.2755749976560967,0.04590831814916417,0-1;2-3;4-5-6;7-8-9,l1,True,S04,S04,1213,1213
4,0.9,3,0.3798971777738381,0.03637032113105299,0-1;2-3;4-5-6,shil,False,S04,S04,1231,1231
4,0.8,4,0.2739601342196455,0.036904220943604876,0-1;2-3;4-5-6;7-8-9,shil,True,S04,S04,1231,1231
4,0.9,4,0.2739601342196455,0.036904220943604876,0-1;2-3;4-5-6;7-8-9,l1,True,S04,S04,1231,1231
4,0.9,4,0.29497945763099076,0.034293610355164934,0-1;2-3;4-5-6;7-8-9,shil,True,S04,S04,1249,1249
4,0.9,4,0.29497945763099076,0.034293610355164934,0-1;2-3;4-5-6;7-8-9,l1,True,S04,S04,1249,1249
16,0.6,5,0.30276654173089446,0.034607762930020984,0-1;2-3;4-5-6;4-6;7-8-9,l1,False,S04,S04,1249,1249
4,0.9,3,0.36168160686186435,0.04297966093645065,0-1;2-3;4-5-6,shil,False,S04,S04,1277,1277
4,0.8,4,0.26391850495607255,0.03782214499108517,0-1;2-3;4-5-6;7-8-9,shil,True,S04,S04,1277,1277
4,0.9,4,0.26391850495607255,0.03782214499108517,0-1;2-3;4-5-6;7-8-9,l1,True,S04,S04,1277,1277
16,0.7,5,0.2628803222042774,0.03715227995050688,0-1;2-3;2-12;4-5-6;7-8-9,l1,False,S04,S04,1277,1277
4,0.9,4,0.2394124272102932,0.013205804667545444,0-1;2-3;4-5-6;7-8-9,shil,True,S05,S05,1103,1103
4,0.9,4,0.2394124272102932,0.013205804667545444,0-1;2-3;4-5-6;7-8-9,l1,True,S05,S05,1103,1103
4,0.9,4,0.22079553056242995,0.012528249989815422,0-1;2-3;4-5-6;7-8-9,shil,True,S05,S05,1129,1129
4,0.9,4,0.22079553056242995,0.012528249989815422,0-1;2-3;4-5-6;7-8-9,l1,True,S05,S05,1129,1129
4,0.9,4,0.2312268602645229,0.012838070930491578,0-1;2-3;4-5-6;7-8-9,shil,True,S05,S05,1151,1151
4,0.9,4,0.2312268602645229,0.012838070930491578,0-1;2-3;4-5-6;7-8-9,l1,True,S05,S05,1151,1151
4,0.9,4,0.21127035767215668,0.011909242499948534,0-1;2-3;4-5-6;7-8-9,shil,True,S05,S05,1171,1171
4,0.9,4,0.21127035767215668,0.011909242499948534,0-1;2-3;4-5-6;7-8-9,l1,True,S05,S05,1171,1171
4,0.9,4,0.2539978782542672,0.015296959484678657,0-1;2-3;4-5-6;7-8-9,shil,True,S05,S05,1181,1181
4,0.9,4,0.2539978782542672,0.015296959484678657,0-1;2-3;4-5-6;7-8-9,l1,True,S05,S05,1181,1181
