dataset,scenario,data_seed,split_seed,model,feature_count,candidate_edges,selected_edges,refit_seconds,predict_seconds,peak_rss_bytes,accuracy,macro_f1,log_loss,roc_auc_ovr,support_precision,support_recall,support_f1,false_inclusions,false_discovery_proportion,equivalence_precision,equivalence_recall,selection_seconds,selected_c,chosen_q,chosen_pi,base_fit_count,warning_count,tuning_support_size,final_support_size,validation_log_loss,validation_log_loss_se,one_se_ceiling
S01,S01,1103,1103,L1-full,16,680,30,0.004990799992810935,0.00054369997815229,232615936,0.8892857142857142,0.889250398724083,0.26739667256442473,0.9576913265306123,0.1,1.0,0.18181818181818182,27,0.9,,,0.42339119999087416,0.05,,,5,0,,,,,
S01,S01,1103,1103,L1-top8,16,680,8,0.004570999997667968,0.0004123999970033765,232706048,0.8928571428571429,0.8928079220050023,0.24232287341256986,0.9639413265306122,0.375,1.0,0.5454545454545454,5,0.625,,,0.42339119999087416,0.05,8.0,,5,0,,,,,
S01,S01,1103,1103,L1-match,16,680,3,0.004385700012790039,0.00027949997456744313,232714240,0.8928571428571429,0.8928079220050023,0.2393194913430457,0.9644132653061224,1.0,1.0,1.0,0,0.0,,,0.42339119999087416,0.05,3.0,,5,0,,,,,
S01,S01,1103,1103,SHIL-k8,16,680,8,0.00413519999710843,0.0003674000035971403,232714240,0.8875,0.8874709347758828,0.2402451634401958,0.9640306122448978,0.375,1.0,0.5454545454545454,5,0.625,,,0.5570608999987599,,8.0,,1,0,,,,,
S01,S01,1103,1103,SC-L1,16,680,3,0.0033863999997265637,0.0002080999838653952,286912512,0.8928571428571429,0.8928079220050023,0.2393194913430457,0.9644132653061224,1.0,1.0,1.0,0,0.0,,,13.513038500008406,,4.0,0.9,80,0,3.0,3.0,0.19588845242307157,0.017040878092429303,0.21292933051550086
S01,S01,1103,1103,SC-SHIL,16,680,3,0.0030795999919064343,0.0002083999861497432,252948480,0.8928571428571429,0.8928079220050023,0.2393194913430457,0.9644132653061224,1.0,1.0,1.0,0,0.0,,,19.749060899979668,,4.0,0.9,80,0,3.0,3.0,0.19588845242307157,0.017040878092429303,0.21292933051550086
S01,S01,1129,1129,L1-full,16,680,37,0.0070106000057421625,0.0018602999916765839,235589632,0.8678571428571429,0.8677964371395028,0.2910572016939604,0.950063775510204,0.08108108108108109,1.0,0.15,34,0.918918918918919,,,0.5169961999927182,0.05,,,5,0,,,,,
S01,S01,1129,1129,L1-top8,16,680,8,0.006345999980112538,0.0005259999888949096,235601920,0.8982142857142857,0.8981879886067511,0.23781388622297495,0.9653954081632654,0.375,1.0,0.5454545454545454,5,0.625,,,0.5169961999927182,0.05,8.0,,5,0,,,,,
S01,S01,1129,1129,L1-match,16,680,3,0.007925500016426668,0.0007232000061776489,235610112,0.8910714285714286,0.8910544058223383,0.23228607248422933,0.9669132653061224,1.0,1.0,1.0,0,0.0,,,0.5169961999927182,0.05,3.0,,5,0,,,,,
S01,S01,1129,1129,SHIL-k8,16,680,8,0.007144200004404411,0.0005344000237528235,235610112,0.8892857142857142,0.88928430209569,0.23554616171446047,0.9655102040816327,0.375,1.0,0.5454545454545454,5,0.625,,,0.5194897000037599,,8.0,,1,0,,,,,
