dataset,scenario,data_seed,split_seed,model,rank,edge,order,is_true_edge
S01,S01,1103,1103,L1-full,1,0-1,2,True
S01,S01,1103,1103,L1-full,2,2-3,2,True
S01,S01,1103,1103,L1-full,3,4-5,2,True
S01,S01,1103,1103,L1-full,4,3-11-12,3,False
S01,S01,1103,1103,L1-full,5,6-9-13,3,False
S01,S01,1103,1103,L1-full,6,6-8-10,3,False
S01,S01,1103,1103,L1-full,7,4-9-14,3,False
S01,S01,1103,1103,L1-full,8,0-3-8,3,False
S01,S01,1103,1103,L1-full,9,8-15,2,False
S01,S01,1103,1103,L1-full,10,7-10-11,3,False
S01,S01,1103,1103,L1-full,11,7-10-14,3,False
S01,S01,1103,1103,L1-full,12,10-11-12,3,False
S01,S01,1103,1103,L1-full,13,7-8,2,False
S01,S01,1103,1103,L1-full,14,0-8-11,3,False
S01,S01,1103,1103,L1-full,15,1-6-9,3,False
S01,S01,1103,1103,L1-full,16,9-11-15,3,False
S01,S01,1103,1103,L1-full,17,2-12-15,3,False
S01,S01,1103,1103,L1-full,18,0-5-12,3,False
S01,S01,1103,1103,L1-full,19,9-14-15,3,False
S01,S01,1103,1103,L1-full,20,7-13-14,3,False
S01,S01,1103,1103,L1-full,21,10-15,2,False
S01,S01,1103,1103,L1-full,22,2-7,2,False
S01,S01,1103,1103,L1-full,23,4-11-12,3,False
S01,S01,1103,1103,L1-full,24,6-9-10,3,False
S01,S01,1103,1103,L1-full,25,3-13,2,False
S01,S01,1103,1103,L1-full,26,4-8-13,3,False
S01,S01,1103,1103,L1-full,27,1-7-8,3,False
S01,S01,1103,1103,L1-full,28,2-10,2,False
S01,S01,1103,1103,L1-full,29,4-6-10,3,False
S01,S01,1103,1103,L1-full,30,12-13-14,3,False
S01,S01,1103,1103,L1-top8,1,0-1,2,True
S01,S01,1103,1103,L1-top8,2,2-3,2,True
S01,S01,1103,1103,L1-top8,3,4-5,2,True
S01,S01,1103,1103,L1-top8,4,3-11-12,3,False
S01,S01,1103,1103,L1-top8,5,6-9-13,3,False
S01,S01,1103,1103,L1-top8,6,6-8-10,3,False
S01,S01,1103,1103,L1-top8,7,4-9-14,3,False
S01,S01,1103,1103,L1-top8,8,0-3-8,3,False
S01,S01,1103,1103,L1-match,1,0-1,2,True
S01,S01,1103,1103,L1-match,2,2-3,2,True
S01,S01,1103,1103,L1-match,3,4-5,2,True
S01,S01,1103,1103,SHIL-k8,1,0-1,2,True
S01,S01,1103,1103,SHIL-k8,2,2-3,2,True
S01,S01,1103,1103,SHIL-k8,3,4-5,2,True
S01,S01,1103,1103,SHIL-k8,4,6-8-10,3,False
S01,S01,1103,1103,SHIL-k8,5,0-2-14,3,False
S01,S01,1103,1103,SHIL-k8,6,1-6-7,3,False
S01,S01,1103,1103,SHIL-k8,7,0-3-9,3,False
S01,S01,1103,1103,SHIL-k8,8,5-7-15,3,False
S01,S01,1103,1103,SC-L1,1,0-1,2,True
S01,S01,1103,1103,SC-L1,2,2-3,2,True
S01,S01,1103,1103,SC-L1,3,4-5,2,True
S01,S01,1103,1103,SC-SHIL,1,0-1,2,True
S01,S01,1103,1103,SC-SHIL,2,2-3,2,True
S01,S01,1103,1103,SC-SHIL,3,4-5,2,True
S01,S01,1129,1129,L1-full,1,0-1,2,True
S01,S01,1129,1129,L1-full,2,2-3,2,True
S01,S01,1129,1129,L1-full,3,4-5,2,True
S01,S01,1129,1129,L1-full,4,10-11,2,False
S01,S01,1129,1129,L1-full,5,8-14-15,3,False
S01,S01,1129,1129,L1-full,6,6-7-11,3,False
S01,S01,1129,1129,L1-full,7,3-12,2,False
S01,S01,1129,1129,L1-full,8,2-7-12,3,False
S01,S01,1129,1129,L1-full,9,1-11-14,3,False
S01,S01,1129,1129,L1-full,10,3-7-14,3,False
S01,S01,1129,1129,L1-full,11,8-9-14,3,False
S01,S01,1129,1129,L1-full,12,0-9-10,3,False
S01,S01,1129,1129,L1-full,13,0-9-14,3,False
S01,S01,1129,1129,L1-full,14,2-6-11,3,False
S01,S01,1129,1129,L1-full,15,3-10,2,False
S01,S01,1129,1129,L1-full,16,6-7,2,False
S01,S01,1129,1129,L1-full,17,3-5-12,3,False
S01,S01,1129,1129,L1-full,18,8-11-15,3,False
S01,S01,1129,1129,L1-full,19,1-10-11,3,False
S01,S01,1129,1129,L1-full,20,2-14-15,3,False
S01,S01,1129,1129,L1-full,21,6-8-11,3,False
S01,S01,1129,1129,L1-full,22,1-3-15,3,False
S01,S01,1129,1129,L1-full,23,6-14,2,False
S01,S01,1129,1129,L1-full,24,9-10-15,3,False
S01,S01,1129,1129,L1-full,25,5-12-13,3,False
S01,S01,1129,1129,L1-full,26,7-10-11,3,False
S01,S01,1129,1129,L1-full,27,7-13-14,3,False
S01,S01,1129,1129,L1-full,28,8-11-13,3,False
S01,S01,1129,1129,L1-full,29,7-8-15,3,False
S01,S01,1129,1129,L1-full,30,2-5-15,3,False
S01,S01,1129,1129,L1-full,31,4-7-9,3,False
S01,S01,1129,1129,L1-full,32,1-9-13,3,False
S01,S01,1129,1129,L1-full,33,6-14-15,3,False
S01,S01,1129,1129,L1-full,34,1-9-12,3,False
S01,S01,1129,1129,L1-full,35,11-12-14,3,False
S01,S01,1129,1129,L1-full,36,3-7-9,3,False
S01,S01,1129,1129,L1-full,37,6-12-13,3,False
S01,S01,1129,1129,L1-top8,1,0-1,2,True
S01,S01,1129,1129,L1-top8,2,2-3,2,True
S01,S01,1129,1129,L1-top8,3,4-5,2,True
S01,S01,1129,1129,L1-top8,4,10-11,2,False
S01,S01,1129,1129,L1-top8,5,8-14-15,3,False
S01,S01,1129,1129,L1-top8,6,6-7-11,3,False
S01,S01,1129,1129,L1-top8,7,3-12,2,False
S01,S01,1129,1129,L1-top8,8,2-7-12,3,False
S01,S01,1129,1129,L1-match,1,0-1,2,True
S01,S01,1129,1129,L1-match,2,2-3,2,True
S01,S01,1129,1129,L1-match,3,4-5,2,True
S01,S01,1129,1129,SHIL-k8,1,0-1,2,True
S01,S01,1129,1129,SHIL-k8,2,2-3,2,True
S01,S01,1129,1129,SHIL-k8,3,4-5,2,True
S01,S01,1129,1129,SHIL-k8,4,8-9-12,3,False
S01,S01,1129,1129,SHIL-k8,5,0-7-14,3,False
S01,S01,1129,1129,SHIL-k8,6,2-12-14,3,False
S01,S01,1129,1129,SHIL-k8,7,6-7-14,3,False
S01,S01,1129,1129,SHIL-k8,8,6-12-13,3,False
S01,S01,1129,1129,SC-L1,1,0-1,2,True
S01,S01,1129,1129,SC-L1,2,2-3,2,True
S01,S01,1129,1129,SC-L1,3,4-5,2,True
S01,S01,1129,1129,SC-SHIL,1,0-1,2,True
S01,S01,1129,1129,SC-SHIL,2,2-3,2,True
S01,S01,1129,1129,SC-SHIL,3,4-5,2,True
S01,S01,1151,1151,L1-full,1,0-1,2,True
S01,S01,1151,1151,L1-full,2,2-3,2,True
S01,S01,1151,1151,L1-full,3,4-5,2,True
S01,S01,1151,1151,L1-full,4,0-4-10,3,False
S01,S01,1151,1151,L1-full,5,0-3-9,3,False
S01,S01,1151,1151,L1-full,6,5-10-11,3,False
S01,S01,1151,1151,L1-full,7,5-8-10,3,False
S01,S01,1151,1151,L1-full,8,3-14,2,False
S01,S01,1151,1151,L1-full,9,2-8-9,3,False
S01,S01,1151,1151,L1-full,10,2-8-11,3,False
S01,S01,1151,1151,L1-full,11,2-8-13,3,False
S01,S01,1151,1151,L1-full,12,3-8-15,3,False
S01,S01,1151,1151,L1-full,13,1-5-13,3,False
S01,S01,1151,1151,L1-full,14,0-2-15,3,False
S01,S01,1151,1151,L1-full,15,6-15,2,False
S01,S01,1151,1151,L1-full,16,4-5-7,3,False
S01,S01,1151,1151,L1-full,17,1-14,2,False
S01,S01,1151,1151,L1-full,18,1-5-7,3,False
S01,S01,1151,1151,L1-full,19,1-9-13,3,False
S01,S01,1151,1151,L1-full,20,3-4-14,3,False
S01,S01,1151,1151,L1-full,21,1-9-12,3,False
S01,S01,1151,1151,L1-full,22,0-10-13,3,False
S01,S01,1151,1151,L1-full,23,1-6-13,3,False
S01,S01,1151,1151,L1-full,24,2-5-12,3,False
S01,S01,1151,1151,L1-full,25,1-6-10,3,False
S01,S01,1151,1151,L1-full,26,9-11-14,3,False
S01,S01,1151,1151,L1-full,27,4-7,2,False
S01,S01,1151,1151,L1-full,28,6-8-15,3,False
S01,S01,1151,1151,L1-full,29,5-8-13,3,False
S01,S01,1151,1151,L1-full,30,11-13,2,False
S01,S01,1151,1151,L1-full,31,7-11,2,False
S01,S01,1151,1151,L1-full,32,8-9-14,3,False
