dataset,model,n,accuracy_mean,accuracy_sd,macro_f1_mean,macro_f1_sd,auc_mean,train_seconds_mean,parameter_count_mean,selected_edges_mean,support_precision_mean,support_recall_mean
synthetic_mixed,l1_interactions_2,10,0.7632142857142857,0.020708811537204306,0.7630900893344956,0.020631088623146776,0.8580663265306121,0.38331654190114933,137.0,24.6,0.08336568584394671,0.5
synthetic_mixed,l1_interactions_2+3,10,0.9014285714285715,0.01273308757821042,0.9014132630210059,0.01273566217833355,0.9707091836734694,14.616173386600712,697.0,28.3,0.14416447278211983,1.0
synthetic_mixed,lightgbm,10,0.7296428571428571,0.016649651178140077,0.7294529412905277,0.016682532985421696,0.8024872448979592,0.1946384588998626,16.0,,,
synthetic_mixed,shil_pair_k12_ext,10,0.7614285714285713,0.020065793142105524,0.7613010134535401,0.020001778526356224,0.8497844387755101,0.2414802438011975,394.0,12.0,0.16666666666666666,0.5
synthetic_mixed,shil_pair_triple_k8_ext,10,0.9003571428571429,0.010094508059857172,0.9003426439710275,0.010088834154992251,0.9698571428571429,0.27118018529872645,2074.0,8.0,0.5,1.0
synthetic_mixed,xgboost,10,0.6889285714285714,0.020684844978664536,0.6886823163260134,0.020660198423648468,0.7595612244897959,0.4259783379988221,16.0,,,
synthetic_pair,l1_interactions_2,10,0.9055357142857143,0.015691045224163952,0.9055165626515116,0.015694725871617268,0.9722397959183674,1.310730804798368,137.0,77.6,0.03894998697332261,1.0
synthetic_pair,l1_interactions_2+3,10,0.9107142857142858,0.014310494381156322,0.9106991399560395,0.014313715783775311,0.9754757653061225,15.58636789749944,697.0,28.3,0.1068345768243694,1.0
synthetic_pair,lightgbm,10,0.8267857142857142,0.02685836707780589,0.8267448402402309,0.02686949977763064,0.9152716836734693,0.17141387550000217,16.0,,,
synthetic_pair,shil_pair_k12_ext,10,0.9073214285714286,0.012583338964723717,0.9073047564522033,0.012578389685006876,0.9731045918367347,0.5398901047003164,394.0,12.0,0.25,1.0
synthetic_pair,shil_pair_triple_k8_ext,10,0.9076785714285714,0.012628309718612648,0.9076609838064543,0.012628584228648494,0.9741390306122449,0.2850599819998024,2074.0,8.0,0.375,1.0
synthetic_pair,xgboost,10,0.8092857142857144,0.021931918983408277,0.8092018392507729,0.021959917609015417,0.8953788265306123,0.3957579167014046,16.0,,,
synthetic_triple,l1_interactions_2,10,0.5057142857142858,0.017573138386291872,0.5055635839593172,0.017585299603180147,0.5103227040816327,0.15695544649861404,137.0,34.4,0.0,0.0
synthetic_triple,l1_interactions_2+3,10,0.8539285714285715,0.011809139778702174,0.8538620779995879,0.011795902024734408,0.9434107142857142,17.4866792148001,697.0,43.4,0.06974598304876277,1.0
synthetic_triple,lightgbm,10,0.5596428571428571,0.029489227057887684,0.5592773247229774,0.02948482071307869,0.5896670918367347,0.21217655059954268,16.0,,,
synthetic_triple,shil_pair_k12_ext,10,0.5085714285714286,0.01909963136731563,0.50844418626803,0.019155148849773918,0.5109502551020408,0.0962852582000778,394.0,12.0,0.0,0.0
synthetic_triple,shil_pair_triple_k8_ext,10,0.8532142857142857,0.010740708160609442,0.8531555607372405,0.0107431994931419,0.9433443877551021,0.2606574138990254,2074.0,8.0,0.375,1.0
synthetic_triple,xgboost,10,0.5160714285714285,0.019177385349508327,0.5156994462708197,0.018871135285316896,0.5273341836734694,0.42091539450120763,16.0,,,
