dataset,model,n,candidate_edges_mean,accuracy_mean,accuracy_sd,auc_mean,train_seconds_mean,selected_edges_mean,support_precision_mean,support_recall_mean,true_edge_hits_mean
wide_mixed_d24,l1_pair_triple_full,5,2300.0,0.8855000000000001,0.0051234753829797865,0.96367875,1.513868136194651,134.8,0.03009425272583167,1.0,4.0
wide_mixed_d24,shil_pair_triple_k8,5,2300.0,0.8859999999999999,0.00495290318903974,0.9645699999999999,1.2853896972024814,8.0,0.5,1.0,4.0
wide_mixed_d32,l1_pair_triple_full,5,5456.0,0.891,0.011435963011482626,0.96374125,3.4742074550071265,235.0,0.017057456268604117,1.0,4.0
wide_mixed_d32,shil_pair_triple_k8,5,5456.0,0.8947499999999999,0.010658036873646155,0.9652062499999999,2.6335061248013516,8.0,0.5,1.0,4.0
wide_mixed_d40,l1_pair_triple_full,5,10660.0,0.88475,0.010947317022905693,0.9601000000000001,6.895929528397391,306.4,0.013079761502175704,1.0,4.0
wide_mixed_d40,shil_pair_triple_k8,5,10660.0,0.8875,0.0070710678118654805,0.96306875,5.542628219799371,8.0,0.5,1.0,4.0
wide_pair_d24,l1_pair_triple_full,5,2300.0,0.89975,0.019352809873504136,0.96837,1.5074983809958211,126.2,0.023928543533323663,1.0,3.0
wide_pair_d24,shil_pair_triple_k8,5,2300.0,0.8975,0.013317047345414054,0.96840875,1.286995034600841,8.0,0.375,1.0,3.0
wide_pair_d32,l1_pair_triple_full,5,5456.0,0.8877499999999999,0.015697332575950566,0.96391875,3.460656156798359,259.6,0.013164415172987068,1.0,3.0
wide_pair_d32,shil_pair_triple_k8,5,5456.0,0.8977499999999999,0.012386989141837508,0.96932625,2.650905318799778,8.0,0.375,1.0,3.0
wide_pair_d40,l1_pair_triple_full,5,10660.0,0.8885,0.016498105951896398,0.96376375,6.851429363200441,280.6,0.01075841535921145,1.0,3.0
wide_pair_d40,shil_pair_triple_k8,5,10660.0,0.892,0.014726676475023112,0.96646,5.564381976399455,8.0,0.375,1.0,3.0
