dataset,model,seed,selected_c,nonzero_edges,selected_edges,top8_true_hits,support_precision,support_recall
synthetic_pair,l1_pair_triple_top8,11,0.05,26,8,3,0.375,1.0
synthetic_pair,l1_pair_triple_top8,23,0.25,234,8,3,0.375,1.0
synthetic_pair,l1_pair_triple_top8,37,0.05,25,8,3,0.375,1.0
synthetic_pair,l1_pair_triple_top8,53,0.05,26,8,3,0.375,1.0
synthetic_pair,l1_pair_triple_top8,71,0.25,242,8,3,0.375,1.0
synthetic_pair,l1_pair_triple_top8,89,0.05,21,8,3,0.375,1.0
synthetic_pair,l1_pair_triple_top8,101,0.05,18,8,3,0.375,1.0
synthetic_pair,l1_pair_triple_top8,131,0.25,251,8,3,0.375,1.0
synthetic_pair,l1_pair_triple_top8,157,0.05,25,8,3,0.375,1.0
synthetic_pair,l1_pair_triple_top8,181,0.05,23,8,3,0.375,1.0
synthetic_triple,l1_pair_triple_top8,11,0.05,34,8,3,0.375,1.0
synthetic_triple,l1_pair_triple_top8,23,0.05,29,8,3,0.375,1.0
synthetic_triple,l1_pair_triple_top8,37,0.05,42,8,3,0.375,1.0
synthetic_triple,l1_pair_triple_top8,53,0.05,33,8,3,0.375,1.0
synthetic_triple,l1_pair_triple_top8,71,0.05,31,8,3,0.375,1.0
synthetic_triple,l1_pair_triple_top8,89,0.05,34,8,3,0.375,1.0
synthetic_triple,l1_pair_triple_top8,101,0.05,40,8,3,0.375,1.0
synthetic_triple,l1_pair_triple_top8,131,0.05,40,8,3,0.375,1.0
synthetic_triple,l1_pair_triple_top8,157,0.05,37,8,3,0.375,1.0
synthetic_triple,l1_pair_triple_top8,181,0.05,28,8,3,0.375,1.0
synthetic_mixed,l1_pair_triple_top8,11,0.05,19,8,4,0.5,1.0
synthetic_mixed,l1_pair_triple_top8,23,0.05,23,8,4,0.5,1.0
synthetic_mixed,l1_pair_triple_top8,37,0.05,21,8,4,0.5,1.0
synthetic_mixed,l1_pair_triple_top8,53,0.05,30,8,4,0.5,1.0
synthetic_mixed,l1_pair_triple_top8,71,0.05,25,8,4,0.5,1.0
synthetic_mixed,l1_pair_triple_top8,89,0.05,21,8,4,0.5,1.0
synthetic_mixed,l1_pair_triple_top8,101,0.05,20,8,4,0.5,1.0
synthetic_mixed,l1_pair_triple_top8,131,0.05,24,8,4,0.5,1.0
synthetic_mixed,l1_pair_triple_top8,157,0.05,27,8,4,0.5,1.0
synthetic_mixed,l1_pair_triple_top8,181,0.05,28,8,4,0.5,1.0
