dataset,model,n,accuracy_mean,accuracy_sd,accuracy_ci95_low,accuracy_ci95_high,roc_auc_ovr_mean,roc_auc_ovr_sd,roc_auc_ovr_ci95_low,roc_auc_ovr_ci95_high,selected_edges_mean,selected_edges_sd,selected_edges_ci95_low,selected_edges_ci95_high,support_precision_mean,support_precision_sd,support_precision_ci95_low,support_precision_ci95_high,support_recall_mean,support_recall_sd,support_recall_ci95_low,support_recall_ci95_high
wide_mixed_d24,l1_pair_triple_full,5,0.8855000000000001,0.005123475382979782,0.8791393849354013,0.8918606150645988,0.96367875,0.002969225619795516,0.9599925604907845,0.9673649395092155,134.8,16.94697613145189,113.76092327501038,155.83907672498964,0.030094252725831622,0.004201775918853059,0.02487789523218419,0.03531061021947906,1.0,0.0,1.0,1.0
wide_mixed_d24,shil_pair_triple_k8,5,0.8859999999999999,0.004952903189039737,0.8798511443341056,0.8921488556658942,0.9645700000000001,0.0019382377627628767,0.9621637457699986,0.9669762542300017,8.0,0.0,8.0,8.0,0.5,0.0,0.5,0.5,1.0,0.0,1.0,1.0
wide_mixed_d32,l1_pair_triple_full,5,0.891,0.01143596301148267,0.8768026528534377,0.9051973471465623,0.96374125,0.008551930748740385,0.9531243277966563,0.9743581722033436,235.0,12.12435565298214,219.9480375232995,250.0519624767005,0.017057456268604082,0.0008776455506272275,0.015967890086781057,0.018147022450427108,1.0,0.0,1.0,1.0
wide_mixed_d32,shil_pair_triple_k8,5,0.8947499999999999,0.010658036873646113,0.8815184208803332,0.9079815791196667,0.9652062499999999,0.006752200162261958,0.9568236302232087,0.9735888697767912,8.0,0.0,8.0,8.0,0.5,0.0,0.5,0.5,1.0,0.0,1.0,1.0
wide_mixed_d40,l1_pair_triple_full,5,0.88475,0.010947317022905684,0.8711592897168691,0.898340710283131,0.9601000000000001,0.00434063962380546,0.9547112480850619,0.9654887519149382,306.4,14.959946523968593,287.8277508696442,324.97224913035575,0.013079761502175661,0.0006385088224619428,0.01228707518450108,0.013872447819850241,1.0,0.0,1.0,1.0
wide_mixed_d40,shil_pair_triple_k8,5,0.8875,0.007071067811865492,0.8787215172153725,0.8962784827846274,0.96306875,0.005767424346599586,0.9559086948732046,0.9702288051267954,8.0,0.0,8.0,8.0,0.5,0.0,0.5,0.5,1.0,0.0,1.0,1.0
wide_pair_d24,l1_pair_triple_full,5,0.89975,0.01935280987350415,0.8757241650301182,0.9237758349698819,0.96837,0.0078066420538058625,0.9586783275824216,0.9780616724175784,126.2,12.00833044182246,111.29207875523888,141.10792124476112,0.023928543533323618,0.00206183719173948,0.02136884494550672,0.026488242121140516,1.0,0.0,1.0,1.0
wide_pair_d24,shil_pair_triple_k8,5,0.8975,0.013317047345414052,0.8809673526015946,0.9140326473984053,0.96840875,0.008481292142489254,0.9578795231498058,0.9789379768501942,8.0,0.0,8.0,8.0,0.375,0.0,0.375,0.375,1.0,0.0,1.0,1.0
wide_pair_d32,l1_pair_triple_full,5,0.8877499999999999,0.01569733257595057,0.8682623119380466,0.9072376880619533,0.96391875,0.009133684865307664,0.952579600456593,0.9752578995434071,259.6,129.24511596188074,99.14671972390221,420.05328027609784,0.013164415172987018,0.0040847776260426304,0.008093306958033205,0.01823552338794083,1.0,0.0,1.0,1.0
wide_pair_d32,shil_pair_triple_k8,5,0.89775,0.012386989141837485,0.8823719872545248,0.9131280127454753,0.96932625,0.0037445934984654964,0.9646774684529545,0.9739750315470453,8.0,0.0,8.0,8.0,0.375,0.0,0.375,0.375,1.0,0.0,1.0,1.0
wide_pair_d40,l1_pair_triple_full,5,0.8885,0.0164981059518964,0.8680181798660372,0.9089818201339627,0.96376375,0.009066423073282518,0.9525081036132682,0.9750193963867319,280.6,24.316660954991335,250.41171793957133,310.7882820604287,0.0107584153592114,0.0009683233953859746,0.009556275812185166,0.011960554906237635,1.0,0.0,1.0,1.0
wide_pair_d40,shil_pair_triple_k8,5,0.892,0.014726676475023135,0.8737173474572206,0.9102826525427794,0.96646,0.008044046954503043,0.9564735977213589,0.9764464022786411,8.0,0.0,8.0,8.0,0.375,0.0,0.375,0.375,1.0,0.0,1.0,1.0
