dataset,model,mean,std,min,max
breast_cancer,shil_pair_k12,0.2444528433382922,0.1005747323571197,0.0909090909090909,0.4117647058823529
breast_cancer,shil_pair_k3,0.22,0.1686548085423135,0.0,0.5
breast_cancer,shil_pair_k6,0.1996969696969697,0.1313943028061618,0.0909090909090909,0.5
breast_cancer,shil_pair_triple_k16,0.1409032258064516,0.3134087037858727,0.0,1.0
breast_cancer,shil_pair_triple_k4,0.06,0.1897366596101027,0.0,0.6
breast_cancer,shil_pair_triple_k8,0.092063492063492,0.2450826548015083,0.0,0.7777777777777778
diabetes_openml37,shil_pair_k12,0.5135294117647058,0.0826814177410925,0.4117647058823529,0.6
diabetes_openml37,shil_pair_k3,0.18,0.1932183566158591,0.0,0.5
diabetes_openml37,shil_pair_k6,0.4047619047619047,0.1289529905497771,0.3333333333333333,0.7142857142857143
diabetes_openml37,shil_pair_triple_k16,0.4631592419784639,0.1198239380860878,0.28,0.6842105263157895
diabetes_openml37,shil_pair_triple_k4,0.6799999999999999,0.1686548085423135,0.6,1.0
diabetes_openml37,shil_pair_triple_k8,0.3715617715617715,0.0779421249360293,0.2307692307692307,0.4545454545454545
synthetic_mixed,shil_pair_k12,0.2593135244528433,0.1137602122725267,0.0909090909090909,0.4117647058823529
synthetic_mixed,shil_pair_k3,0.55,0.1581138830084189,0.5,1.0
synthetic_mixed,shil_pair_k6,0.3133333333333333,0.116746004769455,0.2,0.5
synthetic_mixed,shil_pair_triple_k16,0.371690570299266,0.080440915935629,0.28,0.5238095238095238
synthetic_mixed,shil_pair_triple_k4,1.0,0.0,1.0,1.0
synthetic_mixed,shil_pair_triple_k8,0.4852525252525252,0.1762118566317879,0.3333333333333333,0.7777777777777778
synthetic_pair,shil_pair_k12,0.3665118679050567,0.0667904342755811,0.2631578947368421,0.5
synthetic_pair,shil_pair_k3,1.0,0.0,1.0,1.0
synthetic_pair,shil_pair_k6,0.4547619047619047,0.1231821712615282,0.3333333333333333,0.7142857142857143
synthetic_pair,shil_pair_triple_k16,0.2318632478632478,0.0387194364320855,0.1851851851851851,0.28
synthetic_pair,shil_pair_triple_k4,0.6399999999999999,0.1264911064067352,0.6,1.0
synthetic_pair,shil_pair_triple_k8,0.2839160839160838,0.0770195528837783,0.2307692307692307,0.4545454545454545
synthetic_triple,shil_pair_k12,0.1564456596035543,0.058230873540956,0.0909090909090909,0.2631578947368421
synthetic_triple,shil_pair_k3,0.14,0.0966091783079296,0.0,0.2
synthetic_triple,shil_pair_k6,0.1515151515151515,0.1043879651132429,0.0,0.3333333333333333
synthetic_triple,shil_pair_triple_k16,0.1914106634106633,0.049444302695875,0.1428571428571428,0.28
synthetic_triple,shil_pair_triple_k4,0.64,0.1264911064067351,0.6,1.0
synthetic_triple,shil_pair_triple_k8,0.2717948717948717,0.0529638748199305,0.2307692307692307,0.3333333333333333
wine,shil_pair_k12,0.327141382868937,0.041656348134078,0.2631578947368421,0.4117647058823529
wine,shil_pair_k3,0.16,0.201108041719978,0.0,0.5
wine,shil_pair_k6,0.2757575757575757,0.1374628350400323,0.0909090909090909,0.5
wine,shil_pair_triple_k16,0.3422232775276253,0.1156010643544051,0.1851851851851851,0.5238095238095238
wine,shil_pair_triple_k4,0.1619047619047618,0.1574551970493618,0.0,0.3333333333333333
wine,shil_pair_triple_k8,0.181132201132201,0.1359150849748701,0.0,0.4545454545454545
