dataset,model,seed,rank,edge_indices,edge_names,order,is_true_edge,coefficient_norm
correlated_pair,l1_pair_triple_full,11,1,0-1,x0 x x1,2,True,2.480172705826187
correlated_pair,l1_pair_triple_full,11,2,2-3,x2 x x3,2,True,2.337477270173114
correlated_pair,l1_pair_triple_full,11,3,4-5,x4 x x5,2,True,2.1052301090782137
correlated_pair,l1_pair_triple_full,11,4,6-10-14,x6 x x10 x x14,3,False,0.09391314661024544
correlated_pair,l1_pair_triple_full,11,5,6-7-10,x6 x x7 x x10,3,False,0.08577493154531347
correlated_pair,l1_pair_triple_full,11,6,5-12-14,x5 x x12 x x14,3,False,0.05140805555929888
correlated_pair,l1_pair_triple_full,11,7,1-13-15,x1 x x13 x x15,3,False,0.05073097366803998
correlated_pair,l1_pair_triple_full,11,8,12-13,x12 x x13,2,False,0.042556127304521706
correlated_pair,l1_pair_triple_full,11,9,8-9,x8 x x9,2,False,0.036118222676552014
correlated_pair,l1_pair_triple_full,11,10,1-7-11,x1 x x7 x x11,3,False,0.01857092454769929
correlated_pair,l1_pair_triple_full,11,11,1-7-10,x1 x x7 x x10,3,False,0.01654259148790535
correlated_pair,l1_pair_triple_full,11,12,5-10,x5 x x10,2,False,0.012959409242919797
correlated_pair,l1_pair_triple_full,11,13,1-2-11,x1 x x2 x x11,3,False,0.011921508662897037
correlated_pair,l1_pair_triple_full,11,14,1-12,x1 x x12,2,False,0.011474675421425929
correlated_pair,l1_pair_triple_full,11,15,11-12-15,x11 x x12 x x15,3,False,0.010438133376098663
correlated_pair,l1_pair_triple_full,11,16,6-12-15,x6 x x12 x x15,3,False,0.009238389214278437
correlated_pair,l1_pair_triple_full,11,17,7-9-10,x7 x x9 x x10,3,False,0.007994796024388736
correlated_pair,l1_pair_triple_full,11,18,5-6-15,x5 x x6 x x15,3,False,0.007321516321375313
correlated_pair,l1_pair_triple_full,11,19,5-13-14,x5 x x13 x x14,3,False,0.005726855886515706
correlated_pair,l1_pair_triple_full,11,20,6-7-14,x6 x x7 x x14,3,False,0.0030712381812782468
correlated_pair,l1_pair_triple_full,11,21,7-8-13,x7 x x8 x x13,3,False,0.0024480823368023693
correlated_pair,l1_pair_triple_full,11,22,10-11-12,x10 x x11 x x12,3,False,0.002265354235977962
correlated_pair,l1_pair_triple_full,11,23,13-14,x13 x x14,2,False,0.002183847214977523
correlated_pair,l1_pair_triple_full,11,24,5-6-8,x5 x x6 x x8,3,False,0.0017508082656445222
correlated_pair,shil_pair_triple_k8,11,1,0-1,x0 x x1,2,True,
correlated_pair,shil_pair_triple_k8,11,2,4-5,x4 x x5,2,True,
correlated_pair,shil_pair_triple_k8,11,3,2-3,x2 x x3,2,True,
correlated_pair,shil_pair_triple_k8,11,4,3-6-14,x3 x x6 x x14,3,False,
correlated_pair,shil_pair_triple_k8,11,5,9-14,x9 x x14,2,False,
correlated_pair,shil_pair_triple_k8,11,6,0-9-14,x0 x x9 x x14,3,False,
correlated_pair,shil_pair_triple_k8,11,7,11-13,x11 x x13,2,False,
correlated_pair,shil_pair_triple_k8,11,8,2-4,x2 x x4,2,False,
correlated_pair,l1_pair_triple_full,23,1,0-1,x0 x x1,2,True,2.6567259940055727
correlated_pair,l1_pair_triple_full,23,2,2-3,x2 x x3,2,True,2.345780925711489
correlated_pair,l1_pair_triple_full,23,3,4-5,x4 x x5,2,True,2.0085535133901375
correlated_pair,l1_pair_triple_full,23,4,11-12,x11 x x12,2,False,0.10776404522987276
correlated_pair,l1_pair_triple_full,23,5,1-10-15,x1 x x10 x x15,3,False,0.09520418373187271
correlated_pair,l1_pair_triple_full,23,6,2-12-14,x2 x x12 x x14,3,False,0.05851955487456984
correlated_pair,l1_pair_triple_full,23,7,0-7-8,x0 x x7 x x8,3,False,0.03951282900771338
correlated_pair,l1_pair_triple_full,23,8,2-12-13,x2 x x12 x x13,3,False,0.0352796803480707
correlated_pair,l1_pair_triple_full,23,9,8-9-14,x8 x x9 x x14,3,False,0.033897572762273065
correlated_pair,l1_pair_triple_full,23,10,10-11-12,x10 x x11 x x12,3,False,0.024109912886022853
correlated_pair,l1_pair_triple_full,23,11,6-10-14,x6 x x10 x x14,3,False,0.0234655465432581
correlated_pair,l1_pair_triple_full,23,12,3-7-10,x3 x x7 x x10,3,False,0.01753908397558512
correlated_pair,l1_pair_triple_full,23,13,4-10-15,x4 x x10 x x15,3,False,0.01531519108393201
correlated_pair,l1_pair_triple_full,23,14,2-8-11,x2 x x8 x x11,3,False,0.014323120467646425
correlated_pair,l1_pair_triple_full,23,15,9-10-14,x9 x x10 x x14,3,False,0.012304614879048922
correlated_pair,l1_pair_triple_full,23,16,3-14-15,x3 x x14 x x15,3,False,0.008817305356166386
correlated_pair,l1_pair_triple_full,23,17,10-13-14,x10 x x13 x x14,3,False,0.008385389232314548
correlated_pair,l1_pair_triple_full,23,18,8-9-13,x8 x x9 x x13,3,False,0.006451118598727022
correlated_pair,l1_pair_triple_full,23,19,4-6-7,x4 x x6 x x7,3,False,0.006384829586180547
correlated_pair,l1_pair_triple_full,23,20,4-11-12,x4 x x11 x x12,3,False,0.004803314463500935
correlated_pair,l1_pair_triple_full,23,21,5-6-7,x5 x x6 x x7,3,False,0.0026170081942202034
correlated_pair,l1_pair_triple_full,23,22,6-14,x6 x x14,2,False,0.0025015582128404684
correlated_pair,l1_pair_triple_full,23,23,7-15,x7 x x15,2,False,0.0009494972084918248
correlated_pair,l1_pair_triple_full,23,24,3-12-13,x3 x x12 x x13,3,False,0.00026770182230400166
correlated_pair,l1_pair_triple_full,23,25,0-10-12,x0 x x10 x x12,3,False,9.521345123256725e-05
correlated_pair,shil_pair_triple_k8,23,1,0-1,x0 x x1,2,True,
correlated_pair,shil_pair_triple_k8,23,2,2-3,x2 x x3,2,True,
correlated_pair,shil_pair_triple_k8,23,3,4-5,x4 x x5,2,True,
correlated_pair,shil_pair_triple_k8,23,4,0-8-14,x0 x x8 x x14,3,False,
correlated_pair,shil_pair_triple_k8,23,5,3-7-10,x3 x x7 x x10,3,False,
correlated_pair,shil_pair_triple_k8,23,6,6-10-14,x6 x x10 x x14,3,False,
correlated_pair,shil_pair_triple_k8,23,7,6-14,x6 x x14,2,False,
correlated_pair,shil_pair_triple_k8,23,8,0-13-15,x0 x x13 x x15,3,False,
correlated_pair,l1_pair_triple_full,37,1,0-1,x0 x x1,2,True,2.7778575419553277
correlated_pair,l1_pair_triple_full,37,2,2-3,x2 x x3,2,True,2.409301288512848
correlated_pair,l1_pair_triple_full,37,3,4-5,x4 x x5,2,True,2.123242007449364
correlated_pair,l1_pair_triple_full,37,4,1-9-10,x1 x x9 x x10,3,False,0.05310473527008371
correlated_pair,l1_pair_triple_full,37,5,10-11-12,x10 x x11 x x12,3,False,0.03320736329357569
correlated_pair,l1_pair_triple_full,37,6,6-8-13,x6 x x8 x x13,3,False,0.028108321609727156
correlated_pair,l1_pair_triple_full,37,7,1-2-13,x1 x x2 x x13,3,False,0.02219668551910236
correlated_pair,l1_pair_triple_full,37,8,0-2-5,x0 x x2 x x5,3,False,0.01804796510330452
correlated_pair,l1_pair_triple_full,37,9,9-10-15,x9 x x10 x x15,3,False,0.011296505193866357
correlated_pair,l1_pair_triple_full,37,10,5-11-14,x5 x x11 x x14,3,False,0.00926472224952153
correlated_pair,l1_pair_triple_full,37,11,2-8-11,x2 x x8 x x11,3,False,0.009225908459118764
correlated_pair,l1_pair_triple_full,37,12,7-10-11,x7 x x10 x x11,3,False,0.00456147520489354
correlated_pair,l1_pair_triple_full,37,13,1-6,x1 x x6,2,False,0.00179715333815217
correlated_pair,l1_pair_triple_full,37,14,6-7-13,x6 x x7 x x13,3,False,0.00010224596187486952
correlated_pair,shil_pair_triple_k8,37,1,0-1,x0 x x1,2,True,
correlated_pair,shil_pair_triple_k8,37,2,2-3,x2 x x3,2,True,
correlated_pair,shil_pair_triple_k8,37,3,4-5,x4 x x5,2,True,
correlated_pair,shil_pair_triple_k8,37,4,5-11-14,x5 x x11 x x14,3,False,
