dataset,model,seed,accuracy,macro_f1,log_loss,train_seconds,predict_seconds,parameter_count,roc_auc_ovr,orders,selected_edges,selected_c,support_precision,support_recall
correlated_pair,l1_pair_triple_full,11,0.9089285714285714,0.9088003218812168,0.2464235945005081,0.6336319000110961,0.0,697,0.9726913265306123,2+3,24,0.05,0.125,1.0
correlated_pair,shil_pair_triple_k8,11,0.9017857142857143,0.9017478044781309,0.21815267240109815,3.0788017000013497,0.0,2074,0.9707780612244898,2+3,8,,0.375,1.0
correlated_pair,l1_pair_triple_full,23,0.8857142857142857,0.8856428124720808,0.2758045730740817,0.6142064000014216,0.0,697,0.9612627551020408,2+3,25,0.05,0.12,1.0
correlated_pair,shil_pair_triple_k8,23,0.8982142857142857,0.8981594035050777,0.23395576619270259,3.3459686000132933,0.0,2074,0.9671301020408163,2+3,8,,0.375,1.0
correlated_pair,l1_pair_triple_full,37,0.9035714285714286,0.903560357694123,0.24109910157124226,0.6512878999928944,0.0,697,0.9755357142857143,2+3,14,0.05,0.21428571428571427,1.0
correlated_pair,shil_pair_triple_k8,37,0.9035714285714286,0.9035714285714286,0.2115084877377466,3.224035199993523,0.0,2074,0.9724872448979591,2+3,8,,0.375,1.0
low_snr_pair,l1_pair_triple_full,11,0.8482142857142857,0.8481905654901436,0.3287071390617825,0.5588310999737587,0.0,697,0.938265306122449,2+3,33,0.05,0.09090909090909091,1.0
low_snr_pair,shil_pair_triple_k8,11,0.8553571428571428,0.8553456110978235,0.3130521809940508,0.5545629999833182,0.0,2074,0.9395535714285714,2+3,8,,0.375,1.0
low_snr_pair,l1_pair_triple_full,23,0.8589285714285714,0.8589281215820204,0.3272484312812697,0.5559512999898288,0.0,697,0.9371301020408164,2+3,45,0.05,0.06666666666666667,1.0
low_snr_pair,shil_pair_triple_k8,23,0.8589285714285714,0.8589065255731922,0.32540122808659533,0.5751878000155557,0.0,2074,0.9348979591836735,2+3,8,,0.375,1.0
low_snr_pair,l1_pair_triple_full,37,0.8517857142857143,0.8517852416621227,0.32004256402321263,0.5768829000007827,0.0,697,0.939732142857143,2+3,50,0.05,0.06,1.0
low_snr_pair,shil_pair_triple_k8,37,0.8482142857142857,0.8482138017021739,0.30572144835182513,0.5804736000136472,0.0,2074,0.9406122448979592,2+3,8,,0.375,1.0
small_n_pair,l1_pair_triple_full,11,0.875,0.8749652681300362,0.2613307050850173,0.16082010001991875,0.0,697,0.9586805555555555,2+3,139,0.25,0.02158273381294964,1.0
small_n_pair,shil_pair_triple_k8,11,0.8916666666666667,0.8916666666666667,0.22583399747543248,0.29474489999120124,0.0,2074,0.9691666666666667,2+3,8,,0.375,1.0
small_n_pair,l1_pair_triple_full,23,0.875,0.8749913188415862,0.2589011199813947,0.1550723999971524,0.0,697,0.9585416666666667,2+3,118,0.25,0.025423728813559324,1.0
small_n_pair,shil_pair_triple_k8,23,0.8958333333333334,0.8957446438810794,0.23636537691952472,0.31290119999903254,0.0,2074,0.9661111111111111,2+3,8,,0.375,1.0
small_n_pair,l1_pair_triple_full,37,0.8583333333333333,0.8582939705473742,0.30199766696914726,0.14436649999697693,0.0,697,0.9420833333333334,2+3,128,0.25,0.0234375,1.0
small_n_pair,shil_pair_triple_k8,37,0.8416666666666667,0.8416666666666667,0.286816112523051,0.31069259997457266,0.0,2074,0.9485416666666666,2+3,8,,0.375,1.0
imbalanced_pair,l1_pair_triple_full,11,0.9142857142857143,0.8968929804372843,0.21785539968395434,0.5447887000045739,0.0,697,0.9737457482993197,2+3,15,0.05,0.2,1.0
imbalanced_pair,shil_pair_triple_k8,11,0.9160714285714285,0.9005888373955182,0.19671647552944194,0.709710900002392,0.0,2074,0.9720146987366375,2+3,8,,0.375,1.0
imbalanced_pair,l1_pair_triple_full,23,0.9214285714285714,0.9041080963277759,0.20721458351810737,0.5117484999937005,0.0,697,0.9754919825072886,2+3,19,0.05,0.15789473684210525,1.0
imbalanced_pair,shil_pair_triple_k8,23,0.9160714285714285,0.8981325592646348,0.20329379990702862,0.6011057999858167,0.0,2074,0.9684766763848396,2+3,8,,0.375,1.0
imbalanced_pair,l1_pair_triple_full,37,0.9125,0.894929908599742,0.18990349264667158,0.5249980000080541,0.0,697,0.97397351797862,2+3,211,0.25,0.014218009478672985,1.0
imbalanced_pair,shil_pair_triple_k8,37,0.925,0.909460458240946,0.15865829720690622,0.6167023000016343,0.0,2074,0.9819606413994169,2+3,8,,0.375,1.0
